time,container,chip,metric,value
2026-06-27T05:30:11.080647Z,sampler-a,7,memory_total,16909332480.0
2026-06-27T05:30:11.080651Z,sampler-a,4,memory_total,16909332480.0
2026-06-27T05:30:11.080652Z,sampler-a,1,memory_total,16909332480.0
2026-06-27T05:30:11.080652Z,sampler-a,2,memory_total,16909332480.0
2026-06-27T05:30:11.080653Z,sampler-a,6,memory_total,16909332480.0
2026-06-27T05:30:11.080654Z,sampler-a,0,memory_total,16909332480.0
2026-06-27T05:30:11.080654Z,sampler-a,3,memory_total,16909332480.0
2026-06-27T05:30:11.080655Z,sampler-a,5,memory_total,16909332480.0
2026-06-27T05:30:11.080656Z,sampler-a,7,memory_used,26624.0
2026-06-27T05:30:11.080657Z,sampler-a,4,memory_used,26624.0
2026-06-27T05:30:11.080660Z,sampler-a,0,memory_used,15853107200.0
2026-06-27T05:30:11.080660Z,sampler-a,6,memory_used,26624.0
2026-06-27T05:30:11.080661Z,sampler-a,1,memory_used,26624.0
2026-06-27T05:30:11.080662Z,sampler-a,3,memory_used,26624.0
2026-06-27T05:30:11.080663Z,sampler-a,2,memory_used,26624.0
2026-06-27T05:30:11.080664Z,sampler-a,5,memory_used,26624.0
2026-06-27T05:30:35.797072Z,trainer-a,0,memory_total,16909332480.0
2026-06-27T05:30:35.797076Z,trainer-a,2,memory_total,16909332480.0
2026-06-27T05:30:35.797079Z,trainer-a,4,memory_total,16909332480.0
2026-06-27T05:30:35.797082Z,trainer-a,1,memory_total,16909332480.0
2026-06-27T05:30:35.797082Z,trainer-a,6,memory_total,16909332480.0
2026-06-27T05:30:35.797083Z,trainer-a,3,memory_total,16909332480.0
2026-06-27T05:30:35.797085Z,trainer-a,7,memory_total,16909332480.0
2026-06-27T05:30:35.797087Z,trainer-a,5,memory_total,16909332480.0
2026-06-27T05:30:35.797088Z,trainer-a,1,memory_used,2732232704.0
2026-06-27T05:30:35.797089Z,trainer-a,7,memory_used,2732232704.0
2026-06-27T05:30:35.797091Z,trainer-a,4,memory_used,2732232704.0
2026-06-27T05:30:35.797092Z,trainer-a,0,memory_used,3238660096.0
2026-06-27T05:30:35.797093Z,trainer-a,5,memory_used,2732232704.0
2026-06-27T05:30:35.797095Z,trainer-a,3,memory_used,2732232704.0
2026-06-27T05:30:35.797096Z,trainer-a,2,memory_used,2732232704.0
2026-06-27T05:30:35.797097Z,trainer-a,6,memory_used,2732232704.0
2026-06-27T05:31:11.080344Z,sampler-a,2,memory_total,16909332480.0
2026-06-27T05:31:11.080347Z,sampler-a,1,memory_total,16909332480.0
2026-06-27T05:31:11.080348Z,sampler-a,4,memory_total,16909332480.0
2026-06-27T05:31:11.080352Z,sampler-a,3,memory_total,16909332480.0
2026-06-27T05:31:11.080353Z,sampler-a,6,memory_total,16909332480.0
2026-06-27T05:31:11.080354Z,sampler-a,5,memory_total,16909332480.0
2026-06-27T05:31:11.080354Z,sampler-a,7,memory_total,16909332480.0
2026-06-27T05:31:11.080355Z,sampler-a,0,memory_total,16909332480.0
2026-06-27T05:31:11.080356Z,sampler-a,0,memory_used,15853107200.0
2026-06-27T05:31:11.080357Z,sampler-a,6,memory_used,26624.0
2026-06-27T05:31:11.080358Z,sampler-a,3,memory_used,26624.0
2026-06-27T05:31:11.080359Z,sampler-a,2,memory_used,26624.0
2026-06-27T05:31:11.080360Z,sampler-a,4,memory_used,26624.0
2026-06-27T05:31:11.080361Z,sampler-a,5,memory_used,26624.0
2026-06-27T05:31:11.080362Z,sampler-a,1,memory_used,26624.0
2026-06-27T05:31:11.080364Z,sampler-a,7,memory_used,26624.0
2026-06-27T05:31:35.797399Z,trainer-a,1,memory_total,16909332480.0
2026-06-27T05:31:35.797402Z,trainer-a,6,memory_total,16909332480.0
2026-06-27T05:31:35.797403Z,trainer-a,7,memory_total,16909332480.0
2026-06-27T05:31:35.797404Z,trainer-a,3,memory_total,16909332480.0
2026-06-27T05:31:35.797404Z,trainer-a,5,memory_total,16909332480.0
2026-06-27T05:31:35.797405Z,trainer-a,2,memory_total,16909332480.0
2026-06-27T05:31:35.797406Z,trainer-a,0,memory_total,16909332480.0
2026-06-27T05:31:35.797407Z,trainer-a,2,memory_used,2732232704.0
2026-06-27T05:31:35.797407Z,trainer-a,4,memory_total,16909332480.0
2026-06-27T05:31:35.797408Z,trainer-a,0,memory_used,3238660096.0
2026-06-27T05:31:35.797410Z,trainer-a,4,memory_used,2732232704.0
2026-06-27T05:31:35.797411Z,trainer-a,5,memory_used,2732232704.0
2026-06-27T05:31:35.797411Z,trainer-a,7,memory_used,2732232704.0
2026-06-27T05:31:35.797412Z,trainer-a,1,memory_used,2732232704.0
2026-06-27T05:31:35.797414Z,trainer-a,3,memory_used,2732232704.0
2026-06-27T05:31:35.797414Z,trainer-a,6,memory_used,2732232704.0
2026-06-27T05:32:01.080299Z,sampler-a,3,memory_total,16909332480.0
2026-06-27T05:32:01.080304Z,sampler-a,4,memory_total,16909332480.0
2026-06-27T05:32:01.080304Z,sampler-a,6,memory_total,16909332480.0
2026-06-27T05:32:01.080305Z,sampler-a,1,memory_total,16909332480.0
2026-06-27T05:32:01.080306Z,sampler-a,2,memory_total,16909332480.0
2026-06-27T05:32:01.080307Z,sampler-a,0,memory_total,16909332480.0
2026-06-27T05:32:01.080308Z,sampler-a,7,memory_total,16909332480.0
2026-06-27T05:32:01.080309Z,sampler-a,5,memory_total,16909332480.0
2026-06-27T05:32:01.080310Z,sampler-a,5,memory_used,26624.0
2026-06-27T05:32:01.080312Z,sampler-a,4,memory_used,26624.0
2026-06-27T05:32:01.080321Z,sampler-a,6,memory_used,26624.0
2026-06-27T05:32:01.080322Z,sampler-a,7,memory_used,26624.0
2026-06-27T05:32:01.080323Z,sampler-a,0,memory_used,15853107200.0
2026-06-27T05:32:01.080324Z,sampler-a,1,memory_used,26624.0
2026-06-27T05:32:01.080325Z,sampler-a,2,memory_used,26624.0
2026-06-27T05:32:01.080326Z,sampler-a,3,memory_used,26624.0
2026-06-27T05:32:25.795824Z,trainer-a,4,memory_total,16909332480.0
2026-06-27T05:32:25.795825Z,trainer-a,5,memory_total,16909332480.0
2026-06-27T05:32:25.795826Z,trainer-a,1,memory_total,16909332480.0
2026-06-27T05:32:25.795827Z,trainer-a,0,memory_total,16909332480.0
2026-06-27T05:32:25.795828Z,trainer-a,2,memory_total,16909332480.0
2026-06-27T05:32:25.795828Z,trainer-a,7,memory_total,16909332480.0
2026-06-27T05:32:25.795829Z,trainer-a,3,memory_total,16909332480.0
2026-06-27T05:32:25.795830Z,trainer-a,6,memory_total,16909332480.0
2026-06-27T05:32:25.795831Z,trainer-a,3,memory_used,2732232704.0
2026-06-27T05:32:25.795832Z,trainer-a,2,memory_used,2732232704.0
2026-06-27T05:32:25.795834Z,trainer-a,5,memory_used,2732232704.0
2026-06-27T05:32:25.795835Z,trainer-a,6,memory_used,2732232704.0
2026-06-27T05:32:25.795836Z,trainer-a,1,memory_used,2732232704.0
2026-06-27T05:32:25.795836Z,trainer-a,4,memory_used,2732232704.0
2026-06-27T05:32:25.795837Z,trainer-a,0,memory_used,3238660096.0
2026-06-27T05:32:25.795838Z,trainer-a,7,memory_used,2732232704.0
2026-06-27T05:32:51.080780Z,sampler-a,0,memory_total,16909332480.0
2026-06-27T05:32:51.080786Z,sampler-a,3,memory_total,16909332480.0
2026-06-27T05:32:51.080786Z,sampler-a,7,memory_total,16909332480.0
2026-06-27T05:32:51.080787Z,sampler-a,4,memory_total,16909332480.0
2026-06-27T05:32:51.080788Z,sampler-a,2,memory_total,16909332480.0
2026-06-27T05:32:51.080789Z,sampler-a,6,memory_total,16909332480.0
2026-06-27T05:32:51.080790Z,sampler-a,1,memory_total,16909332480.0
2026-06-27T05:32:51.080792Z,sampler-a,5,memory_total,16909332480.0
2026-06-27T05:32:51.080793Z,sampler-a,2,memory_used,26624.0
2026-06-27T05:32:51.080794Z,sampler-a,3,memory_used,26624.0
2026-06-27T05:32:51.080794Z,sampler-a,5,memory_used,26624.0
2026-06-27T05:32:51.080796Z,sampler-a,1,memory_used,26624.0
2026-06-27T05:32:51.080796Z,sampler-a,6,memory_used,26624.0
2026-06-27T05:32:51.080797Z,sampler-a,4,memory_used,26624.0
2026-06-27T05:32:51.080799Z,sampler-a,0,memory_used,15853107200.0
2026-06-27T05:32:51.080800Z,sampler-a,7,memory_used,26624.0
2026-06-27T05:33:25.796886Z,trainer-a,6,memory_total,16909332480.0
2026-06-27T05:33:25.796892Z,trainer-a,5,memory_total,16909332480.0
2026-06-27T05:33:25.796896Z,trainer-a,3,memory_total,16909332480.0
2026-06-27T05:33:25.796898Z,trainer-a,2,memory_total,16909332480.0
2026-06-27T05:33:25.796900Z,trainer-a,4,memory_total,16909332480.0
