time,container,chip,metric,value
2026-06-27T05:30:35.797072Z,trainer-a,0,memory_total,16909332480.0
2026-06-27T05:30:35.797076Z,trainer-a,2,memory_total,16909332480.0
2026-06-27T05:30:35.797079Z,trainer-a,4,memory_total,16909332480.0
2026-06-27T05:30:35.797082Z,trainer-a,1,memory_total,16909332480.0
2026-06-27T05:30:35.797082Z,trainer-a,6,memory_total,16909332480.0
2026-06-27T05:30:35.797083Z,trainer-a,3,memory_total,16909332480.0
2026-06-27T05:30:35.797085Z,trainer-a,7,memory_total,16909332480.0
2026-06-27T05:30:35.797087Z,trainer-a,5,memory_total,16909332480.0
2026-06-27T05:30:35.797088Z,trainer-a,1,memory_used,2732232704.0
2026-06-27T05:30:35.797089Z,trainer-a,7,memory_used,2732232704.0
2026-06-27T05:30:35.797091Z,trainer-a,4,memory_used,2732232704.0
2026-06-27T05:30:35.797092Z,trainer-a,0,memory_used,3238660096.0
2026-06-27T05:30:35.797093Z,trainer-a,5,memory_used,2732232704.0
2026-06-27T05:30:35.797095Z,trainer-a,3,memory_used,2732232704.0
2026-06-27T05:30:35.797096Z,trainer-a,2,memory_used,2732232704.0
2026-06-27T05:30:35.797097Z,trainer-a,6,memory_used,2732232704.0
2026-06-27T05:30:35.797101Z,trainer-a,2,duty_cycle,0.0
2026-06-27T05:30:35.797103Z,trainer-a,0,duty_cycle,0.0
2026-06-27T05:30:35.797104Z,trainer-a,3,duty_cycle,0.0
2026-06-27T05:30:35.797104Z,trainer-a,5,duty_cycle,0.0
2026-06-27T05:30:35.797105Z,trainer-a,6,duty_cycle,0.0
2026-06-27T05:30:35.797105Z,trainer-a,7,duty_cycle,0.0
2026-06-27T05:30:35.797106Z,trainer-a,1,duty_cycle,0.0
2026-06-27T05:30:35.797107Z,trainer-a,4,duty_cycle,0.0
2026-06-27T05:31:35.797399Z,trainer-a,1,memory_total,16909332480.0
2026-06-27T05:31:35.797402Z,trainer-a,6,memory_total,16909332480.0
2026-06-27T05:31:35.797403Z,trainer-a,7,memory_total,16909332480.0
2026-06-27T05:31:35.797404Z,trainer-a,3,memory_total,16909332480.0
2026-06-27T05:31:35.797404Z,trainer-a,5,memory_total,16909332480.0
2026-06-27T05:31:35.797405Z,trainer-a,2,memory_total,16909332480.0
2026-06-27T05:31:35.797406Z,trainer-a,0,memory_total,16909332480.0
2026-06-27T05:31:35.797407Z,trainer-a,2,memory_used,2732232704.0
2026-06-27T05:31:35.797407Z,trainer-a,4,memory_total,16909332480.0
2026-06-27T05:31:35.797408Z,trainer-a,0,memory_used,3238660096.0
2026-06-27T05:31:35.797410Z,trainer-a,4,memory_used,2732232704.0
2026-06-27T05:31:35.797411Z,trainer-a,5,memory_used,2732232704.0
2026-06-27T05:31:35.797411Z,trainer-a,7,memory_used,2732232704.0
2026-06-27T05:31:35.797412Z,trainer-a,1,memory_used,2732232704.0
2026-06-27T05:31:35.797414Z,trainer-a,3,memory_used,2732232704.0
2026-06-27T05:31:35.797414Z,trainer-a,6,memory_used,2732232704.0
2026-06-27T05:31:35.797418Z,trainer-a,4,duty_cycle,0.0
2026-06-27T05:31:35.797419Z,trainer-a,6,duty_cycle,0.0
2026-06-27T05:31:35.797420Z,trainer-a,0,duty_cycle,0.0
2026-06-27T05:31:35.797421Z,trainer-a,2,duty_cycle,0.0
2026-06-27T05:31:35.797422Z,trainer-a,3,duty_cycle,0.0
2026-06-27T05:31:35.797423Z,trainer-a,5,duty_cycle,0.0
2026-06-27T05:31:35.797423Z,trainer-a,7,duty_cycle,0.0
2026-06-27T05:31:35.797424Z,trainer-a,1,duty_cycle,0.0
2026-06-27T05:32:25.795824Z,trainer-a,4,memory_total,16909332480.0
2026-06-27T05:32:25.795825Z,trainer-a,5,memory_total,16909332480.0
2026-06-27T05:32:25.795826Z,trainer-a,1,memory_total,16909332480.0
2026-06-27T05:32:25.795827Z,trainer-a,0,memory_total,16909332480.0
2026-06-27T05:32:25.795828Z,trainer-a,2,memory_total,16909332480.0
2026-06-27T05:32:25.795828Z,trainer-a,7,memory_total,16909332480.0
2026-06-27T05:32:25.795829Z,trainer-a,3,memory_total,16909332480.0
2026-06-27T05:32:25.795830Z,trainer-a,6,memory_total,16909332480.0
2026-06-27T05:32:25.795831Z,trainer-a,3,memory_used,2732232704.0
2026-06-27T05:32:25.795832Z,trainer-a,2,memory_used,2732232704.0
2026-06-27T05:32:25.795834Z,trainer-a,5,memory_used,2732232704.0
2026-06-27T05:32:25.795835Z,trainer-a,6,memory_used,2732232704.0
2026-06-27T05:32:25.795836Z,trainer-a,1,memory_used,2732232704.0
2026-06-27T05:32:25.795836Z,trainer-a,4,memory_used,2732232704.0
2026-06-27T05:32:25.795837Z,trainer-a,0,memory_used,3238660096.0
2026-06-27T05:32:25.795838Z,trainer-a,7,memory_used,2732232704.0
2026-06-27T05:32:25.795841Z,trainer-a,7,duty_cycle,0.0
2026-06-27T05:32:25.795842Z,trainer-a,5,duty_cycle,0.0
2026-06-27T05:32:25.795843Z,trainer-a,0,duty_cycle,0.0
2026-06-27T05:32:25.795844Z,trainer-a,2,duty_cycle,0.0
2026-06-27T05:32:25.795845Z,trainer-a,1,duty_cycle,0.0
2026-06-27T05:32:25.795846Z,trainer-a,3,duty_cycle,0.0
2026-06-27T05:32:25.795846Z,trainer-a,4,duty_cycle,0.0
2026-06-27T05:32:25.795847Z,trainer-a,6,duty_cycle,0.0
2026-06-27T05:33:25.796886Z,trainer-a,6,memory_total,16909332480.0
2026-06-27T05:33:25.796892Z,trainer-a,5,memory_total,16909332480.0
2026-06-27T05:33:25.796896Z,trainer-a,3,memory_total,16909332480.0
2026-06-27T05:33:25.796898Z,trainer-a,2,memory_total,16909332480.0
2026-06-27T05:33:25.796900Z,trainer-a,4,memory_total,16909332480.0
2026-06-27T05:33:25.796901Z,trainer-a,0,memory_total,16909332480.0
2026-06-27T05:33:25.796904Z,trainer-a,1,memory_total,16909332480.0
2026-06-27T05:33:25.796905Z,trainer-a,7,memory_total,16909332480.0
