ts,wall,phase,chip,duty_cycle_pct,mem_used_mib,mem_total_mib,mem_pct
1782538496.146,05:34:56,baseline,0,0.0,0,16126,0.0
1782538496.146,05:34:56,baseline,1,0.0,0,16126,0.0
1782538496.146,05:34:56,baseline,2,0.0,0,16126,0.0
1782538496.146,05:34:56,baseline,3,0.0,0,16126,0.0
1782538496.146,05:34:56,baseline,4,0.0,0,16126,0.0
1782538496.146,05:34:56,baseline,5,0.0,0,16126,0.0
1782538496.146,05:34:56,baseline,6,0.0,0,16126,0.0
1782538496.146,05:34:56,baseline,7,0.0,0,16126,0.0
1782538497.151,05:34:57,baseline,0,0.0,0,16126,0.0
1782538497.151,05:34:57,baseline,1,0.0,0,16126,0.0
1782538497.151,05:34:57,baseline,2,0.0,0,16126,0.0
1782538497.151,05:34:57,baseline,3,0.0,0,16126,0.0
1782538497.151,05:34:57,baseline,4,0.0,0,16126,0.0
1782538497.151,05:34:57,baseline,5,0.0,0,16126,0.0
1782538497.151,05:34:57,baseline,6,0.0,0,16126,0.0
1782538497.151,05:34:57,baseline,7,0.0,0,16126,0.0
1782538498.155,05:34:58,baseline,0,0.0,0,16126,0.0
1782538498.155,05:34:58,baseline,1,0.0,0,16126,0.0
1782538498.155,05:34:58,baseline,2,0.0,0,16126,0.0
1782538498.155,05:34:58,baseline,3,0.0,0,16126,0.0
1782538498.155,05:34:58,baseline,4,0.0,0,16126,0.0
1782538498.155,05:34:58,baseline,5,0.0,0,16126,0.0
1782538498.155,05:34:58,baseline,6,0.0,0,16126,0.0
1782538498.155,05:34:58,baseline,7,0.0,0,16126,0.0
1782538499.16,05:34:59,baseline,0,0.0,0,16126,0.0
1782538499.16,05:34:59,baseline,1,0.0,0,16126,0.0
1782538499.16,05:34:59,baseline,2,0.0,0,16126,0.0
1782538499.16,05:34:59,baseline,3,0.0,0,16126,0.0
1782538499.16,05:34:59,baseline,4,0.0,0,16126,0.0
1782538499.16,05:34:59,baseline,5,0.0,0,16126,0.0
1782538499.16,05:34:59,baseline,6,0.0,0,16126,0.0
1782538499.16,05:34:59,baseline,7,0.0,0,16126,0.0
1782538500.166,05:35:00,baseline,0,0.0,0,16126,0.0
1782538500.166,05:35:00,baseline,1,0.0,0,16126,0.0
1782538500.166,05:35:00,baseline,2,0.0,0,16126,0.0
1782538500.166,05:35:00,baseline,3,0.0,0,16126,0.0
1782538500.166,05:35:00,baseline,4,0.0,0,16126,0.0
1782538500.166,05:35:00,baseline,5,0.0,0,16126,0.0
1782538500.166,05:35:00,baseline,6,0.0,0,16126,0.0
1782538500.166,05:35:00,baseline,7,0.0,0,16126,0.0
1782538501.171,05:35:01,baseline,0,0.0,0,16126,0.0
1782538501.171,05:35:01,baseline,1,0.0,0,16126,0.0
1782538501.171,05:35:01,baseline,2,0.0,0,16126,0.0
1782538501.171,05:35:01,baseline,3,0.0,0,16126,0.0
1782538501.171,05:35:01,baseline,4,0.0,0,16126,0.0
1782538501.171,05:35:01,baseline,5,0.0,0,16126,0.0
1782538501.171,05:35:01,baseline,6,0.0,0,16126,0.0
1782538501.171,05:35:01,baseline,7,0.0,0,16126,0.0
1782538502.176,05:35:02,baseline,0,0.0,0,16126,0.0
1782538502.176,05:35:02,baseline,1,0.0,0,16126,0.0
1782538502.176,05:35:02,baseline,2,0.0,0,16126,0.0
1782538502.176,05:35:02,baseline,3,0.0,0,16126,0.0
1782538502.176,05:35:02,baseline,4,0.0,0,16126,0.0
1782538502.176,05:35:02,baseline,5,0.0,0,16126,0.0
1782538502.176,05:35:02,baseline,6,0.0,0,16126,0.0
1782538502.176,05:35:02,baseline,7,0.0,0,16126,0.0
1782538503.181,05:35:03,baseline,0,0.0,0,16126,0.0
1782538503.181,05:35:03,baseline,1,0.0,0,16126,0.0
1782538503.181,05:35:03,baseline,2,0.0,0,16126,0.0
