time,container,chip,metric,value
2026-06-27T06:56:41.078775Z,sampler-a,5,memory_total,16909332480.0
2026-06-27T06:56:41.078787Z,sampler-a,2,memory_total,16909332480.0
2026-06-27T06:56:41.078789Z,sampler-a,3,memory_total,16909332480.0
2026-06-27T06:56:41.078790Z,sampler-a,0,memory_total,16909332480.0
2026-06-27T06:56:41.078790Z,sampler-a,4,memory_total,16909332480.0
2026-06-27T06:56:41.078791Z,sampler-a,6,memory_total,16909332480.0
2026-06-27T06:56:41.078792Z,sampler-a,1,memory_total,16909332480.0
2026-06-27T06:56:41.078792Z,sampler-a,7,memory_total,16909332480.0
2026-06-27T06:56:41.078793Z,sampler-a,1,memory_used,26624.0
2026-06-27T06:56:41.078795Z,sampler-a,6,memory_used,26624.0
2026-06-27T06:56:41.078796Z,sampler-a,2,memory_used,26624.0
2026-06-27T06:56:41.078796Z,sampler-a,3,memory_used,26624.0
2026-06-27T06:56:41.078797Z,sampler-a,5,memory_used,26624.0
2026-06-27T06:56:41.078798Z,sampler-a,0,memory_used,15784223744.0
2026-06-27T06:56:41.078798Z,sampler-a,7,memory_used,26624.0
2026-06-27T06:56:41.078799Z,sampler-a,4,memory_used,26624.0
2026-06-27T06:56:41.078804Z,sampler-a,0,duty_cycle,1.0
2026-06-27T06:57:31.079286Z,sampler-a,0,memory_total,16909332480.0
2026-06-27T06:57:31.079290Z,sampler-a,5,memory_total,16909332480.0
2026-06-27T06:57:31.079290Z,sampler-a,6,memory_total,16909332480.0
2026-06-27T06:57:31.079291Z,sampler-a,3,memory_total,16909332480.0
2026-06-27T06:57:31.079292Z,sampler-a,1,memory_total,16909332480.0
2026-06-27T06:57:31.079293Z,sampler-a,2,memory_total,16909332480.0
2026-06-27T06:57:31.079293Z,sampler-a,4,memory_total,16909332480.0
2026-06-27T06:57:31.079294Z,sampler-a,7,memory_total,16909332480.0
2026-06-27T06:57:31.079295Z,sampler-a,1,memory_used,26624.0
2026-06-27T06:57:31.079297Z,sampler-a,4,memory_used,26624.0
2026-06-27T06:57:31.079298Z,sampler-a,2,memory_used,26624.0
