time,container,chip,metric,value
2026-06-27T07:05:35.797114Z,trainer-a,5,memory_total,16909332480.0
2026-06-27T07:05:35.797119Z,trainer-a,0,memory_total,16909332480.0
2026-06-27T07:05:35.797120Z,trainer-a,1,memory_total,16909332480.0
2026-06-27T07:05:35.797123Z,trainer-a,3,memory_total,16909332480.0
2026-06-27T07:05:35.797123Z,trainer-a,7,memory_total,16909332480.0
2026-06-27T07:05:35.797127Z,trainer-a,6,memory_total,16909332480.0
2026-06-27T07:05:35.797128Z,trainer-a,2,memory_total,16909332480.0
2026-06-27T07:05:35.797129Z,trainer-a,4,memory_total,16909332480.0
2026-06-27T07:05:35.797130Z,trainer-a,1,memory_used,4510482944.0
2026-06-27T07:05:35.797131Z,trainer-a,2,memory_used,4510482944.0
2026-06-27T07:05:35.797133Z,trainer-a,0,memory_used,4518027264.0
2026-06-27T07:05:35.797133Z,trainer-a,5,memory_used,4510482944.0
2026-06-27T07:05:35.797135Z,trainer-a,7,memory_used,4510482944.0
2026-06-27T07:05:35.797136Z,trainer-a,4,memory_used,4510482944.0
2026-06-27T07:05:35.797137Z,trainer-a,6,memory_used,4510482944.0
2026-06-27T07:05:35.797138Z,trainer-a,3,memory_used,4510482944.0
2026-06-27T07:05:35.797143Z,trainer-a,0,duty_cycle,45.0
2026-06-27T07:05:35.797144Z,trainer-a,3,duty_cycle,34.0
2026-06-27T07:05:35.797146Z,trainer-a,2,duty_cycle,38.0
2026-06-27T07:05:35.797147Z,trainer-a,4,duty_cycle,33.0
2026-06-27T07:05:35.797148Z,trainer-a,1,duty_cycle,42.0
2026-06-27T07:05:35.797149Z,trainer-a,6,duty_cycle,31.0
2026-06-27T07:05:35.797150Z,trainer-a,5,duty_cycle,34.0
2026-06-27T07:05:35.797150Z,trainer-a,7,duty_cycle,44.0
2026-06-27T07:06:35.796337Z,trainer-a,2,memory_total,16909332480.0
2026-06-27T07:06:35.796342Z,trainer-a,6,memory_total,16909332480.0
2026-06-27T07:06:35.796343Z,trainer-a,0,memory_total,16909332480.0
2026-06-27T07:06:35.796343Z,trainer-a,5,memory_total,16909332480.0
2026-06-27T07:06:35.796346Z,trainer-a,1,memory_total,16909332480.0
2026-06-27T07:06:35.796346Z,trainer-a,4,memory_total,16909332480.0
2026-06-27T07:06:35.796347Z,trainer-a,3,memory_total,16909332480.0
2026-06-27T07:06:35.796348Z,trainer-a,7,memory_total,16909332480.0
2026-06-27T07:06:35.796349Z,trainer-a,3,memory_used,4510494720.0
2026-06-27T07:06:35.796350Z,trainer-a,2,memory_used,4510494720.0
2026-06-27T07:06:35.796350Z,trainer-a,6,memory_used,4510494720.0
2026-06-27T07:06:35.796351Z,trainer-a,5,memory_used,4510494720.0
2026-06-27T07:06:35.796352Z,trainer-a,1,memory_used,4510494720.0
2026-06-27T07:06:35.796353Z,trainer-a,0,memory_used,4518039040.0
2026-06-27T07:06:35.796354Z,trainer-a,7,memory_used,4510494720.0
2026-06-27T07:06:35.796356Z,trainer-a,4,memory_used,4510494720.0
2026-06-27T07:06:35.796359Z,trainer-a,4,duty_cycle,35.0
2026-06-27T07:06:35.796360Z,trainer-a,7,duty_cycle,47.0
2026-06-27T07:06:35.796361Z,trainer-a,3,duty_cycle,35.0
2026-06-27T07:06:35.796362Z,trainer-a,2,duty_cycle,38.0
2026-06-27T07:06:35.796362Z,trainer-a,5,duty_cycle,31.0
2026-06-27T07:06:35.796363Z,trainer-a,0,duty_cycle,45.0
2026-06-27T07:06:35.796364Z,trainer-a,1,duty_cycle,42.0
2026-06-27T07:06:35.796364Z,trainer-a,6,duty_cycle,30.0
2026-06-27T07:07:25.796569Z,trainer-a,5,memory_total,16909332480.0
2026-06-27T07:07:25.796574Z,trainer-a,4,memory_total,16909332480.0
2026-06-27T07:07:25.796575Z,trainer-a,6,memory_total,16909332480.0
2026-06-27T07:07:25.796579Z,trainer-a,2,memory_total,16909332480.0
2026-06-27T07:07:25.796580Z,trainer-a,3,memory_total,16909332480.0
2026-06-27T07:07:25.796581Z,trainer-a,0,memory_total,16909332480.0
2026-06-27T07:07:25.796582Z,trainer-a,1,memory_total,16909332480.0
2026-06-27T07:07:25.796582Z,trainer-a,7,memory_total,16909332480.0
2026-06-27T07:07:25.796583Z,trainer-a,3,memory_used,4406501888.0
2026-06-27T07:07:25.796584Z,trainer-a,6,memory_used,4406501888.0
2026-06-27T07:07:25.796585Z,trainer-a,4,memory_used,4406501888.0
2026-06-27T07:07:25.796586Z,trainer-a,7,memory_used,4406501888.0
2026-06-27T07:07:25.796587Z,trainer-a,2,memory_used,4406501888.0
2026-06-27T07:07:25.796588Z,trainer-a,0,memory_used,4414046208.0
2026-06-27T07:07:25.796590Z,trainer-a,1,memory_used,4406501888.0
2026-06-27T07:07:25.796590Z,trainer-a,5,memory_used,4406501888.0
2026-06-27T07:07:25.796594Z,trainer-a,1,duty_cycle,42.0
2026-06-27T07:07:25.796596Z,trainer-a,3,duty_cycle,35.0
2026-06-27T07:07:25.796597Z,trainer-a,7,duty_cycle,46.0
