time,container,chip,metric,value
2026-06-27T08:31:21.080614Z,sampler-a,5,memory_total,16909332480.0
2026-06-27T08:31:21.080618Z,sampler-a,1,memory_total,16909332480.0
2026-06-27T08:31:21.080619Z,sampler-a,7,memory_total,16909332480.0
2026-06-27T08:31:21.080620Z,sampler-a,0,memory_total,16909332480.0
2026-06-27T08:31:21.080621Z,sampler-a,6,memory_total,16909332480.0
2026-06-27T08:31:21.080622Z,sampler-a,3,memory_total,16909332480.0
2026-06-27T08:31:21.080622Z,sampler-a,4,memory_total,16909332480.0
2026-06-27T08:31:21.080624Z,sampler-a,2,memory_total,16909332480.0
2026-06-27T08:31:21.080625Z,sampler-a,1,memory_used,26624.0
2026-06-27T08:31:21.080627Z,sampler-a,4,memory_used,26624.0
2026-06-27T08:31:21.080627Z,sampler-a,6,memory_used,26624.0
2026-06-27T08:31:21.080628Z,sampler-a,3,memory_used,26624.0
2026-06-27T08:31:21.080629Z,sampler-a,7,memory_used,26624.0
2026-06-27T08:31:21.080632Z,sampler-a,5,memory_used,26624.0
2026-06-27T08:31:21.080633Z,sampler-a,0,memory_used,26624.0
2026-06-27T08:31:21.080633Z,sampler-a,2,memory_used,26624.0
2026-06-27T08:31:21.080639Z,sampler-a,0,duty_cycle,0.0
2026-06-27T08:31:21.080641Z,sampler-a,3,duty_cycle,0.0
2026-06-27T08:31:21.080642Z,sampler-a,7,duty_cycle,0.0
2026-06-27T08:31:21.080643Z,sampler-a,5,duty_cycle,0.0
2026-06-27T08:31:21.080644Z,sampler-a,6,duty_cycle,0.0
2026-06-27T08:31:21.080646Z,sampler-a,2,duty_cycle,0.0
2026-06-27T08:31:21.080647Z,sampler-a,1,duty_cycle,0.0
2026-06-27T08:31:21.080648Z,sampler-a,4,duty_cycle,0.0
2026-06-27T08:32:11.080315Z,sampler-a,6,memory_total,16909332480.0
2026-06-27T08:32:11.080320Z,sampler-a,4,memory_total,16909332480.0
2026-06-27T08:32:11.080320Z,sampler-a,7,memory_total,16909332480.0
2026-06-27T08:32:11.080321Z,sampler-a,0,memory_total,16909332480.0
2026-06-27T08:32:11.080322Z,sampler-a,3,memory_total,16909332480.0
2026-06-27T08:32:11.080323Z,sampler-a,1,memory_total,16909332480.0
