time,container,chip,metric,value
2026-06-27T08:40:45.795913Z,trainer-a,2,memory_total,16909332480.0
2026-06-27T08:40:45.795917Z,trainer-a,6,memory_total,16909332480.0
2026-06-27T08:40:45.795918Z,trainer-a,1,memory_total,16909332480.0
2026-06-27T08:40:45.795918Z,trainer-a,7,memory_total,16909332480.0
2026-06-27T08:40:45.795921Z,trainer-a,4,memory_total,16909332480.0
2026-06-27T08:40:45.795923Z,trainer-a,0,memory_total,16909332480.0
2026-06-27T08:40:45.795923Z,trainer-a,5,memory_total,16909332480.0
2026-06-27T08:40:45.795924Z,trainer-a,3,memory_total,16909332480.0
2026-06-27T08:40:45.795925Z,trainer-a,1,memory_used,4217417728.0
2026-06-27T08:40:45.795926Z,trainer-a,4,memory_used,4217417728.0
2026-06-27T08:40:45.795927Z,trainer-a,0,memory_used,4224962048.0
2026-06-27T08:40:45.795928Z,trainer-a,7,memory_used,4217417728.0
2026-06-27T08:40:45.795929Z,trainer-a,3,memory_used,4217417728.0
2026-06-27T08:40:45.795929Z,trainer-a,5,memory_used,4217417728.0
2026-06-27T08:40:45.795930Z,trainer-a,2,memory_used,4217417728.0
2026-06-27T08:40:45.795932Z,trainer-a,6,memory_used,4217417728.0
2026-06-27T08:40:45.795935Z,trainer-a,4,duty_cycle,29.0
2026-06-27T08:40:45.795936Z,trainer-a,6,duty_cycle,27.0
2026-06-27T08:40:45.795937Z,trainer-a,7,duty_cycle,41.0
2026-06-27T08:40:45.795938Z,trainer-a,1,duty_cycle,37.0
2026-06-27T08:40:45.795938Z,trainer-a,2,duty_cycle,32.0
2026-06-27T08:40:45.795939Z,trainer-a,3,duty_cycle,33.0
2026-06-27T08:40:45.795940Z,trainer-a,0,duty_cycle,40.0
2026-06-27T08:40:45.795941Z,trainer-a,5,duty_cycle,27.0
2026-06-27T08:41:35.797116Z,trainer-a,7,memory_total,16909332480.0
2026-06-27T08:41:35.797118Z,trainer-a,4,memory_total,16909332480.0
2026-06-27T08:41:35.797119Z,trainer-a,1,memory_total,16909332480.0
2026-06-27T08:41:35.797120Z,trainer-a,6,memory_total,16909332480.0
