time,container,chip,metric,value
2026-06-28T10:27:01.078891Z,sampler-a,1,memory_total,16909332480.0
2026-06-28T10:27:01.078892Z,sampler-a,2,memory_total,16909332480.0
2026-06-28T10:27:01.078893Z,sampler-a,5,memory_total,16909332480.0
2026-06-28T10:27:01.078894Z,sampler-a,6,memory_total,16909332480.0
2026-06-28T10:27:01.078896Z,sampler-a,4,memory_total,16909332480.0
2026-06-28T10:27:01.078897Z,sampler-a,0,memory_total,16909332480.0
2026-06-28T10:27:01.078898Z,sampler-a,7,memory_total,16909332480.0
2026-06-28T10:27:01.078899Z,sampler-a,3,memory_total,16909332480.0
2026-06-28T10:27:01.078900Z,sampler-a,5,memory_used,26624.0
2026-06-28T10:27:01.078901Z,sampler-a,1,memory_used,26624.0
2026-06-28T10:27:01.078903Z,sampler-a,0,memory_used,944381952.0
2026-06-28T10:27:01.078904Z,sampler-a,2,memory_used,26624.0
2026-06-28T10:27:01.078905Z,sampler-a,3,memory_used,26624.0
2026-06-28T10:27:01.078906Z,sampler-a,7,memory_used,26624.0
2026-06-28T10:27:01.078907Z,sampler-a,4,memory_used,26624.0
2026-06-28T10:27:01.078907Z,sampler-a,6,memory_used,26624.0
2026-06-28T10:27:51.078606Z,sampler-a,2,memory_total,16909332480.0
2026-06-28T10:27:51.078607Z,sampler-a,1,memory_total,16909332480.0
2026-06-28T10:27:51.078608Z,sampler-a,6,memory_total,16909332480.0
2026-06-28T10:27:51.078609Z,sampler-a,4,memory_total,16909332480.0
2026-06-28T10:27:51.078611Z,sampler-a,3,memory_total,16909332480.0
2026-06-28T10:27:51.078611Z,sampler-a,7,memory_total,16909332480.0
2026-06-28T10:27:51.078612Z,sampler-a,5,memory_total,16909332480.0
2026-06-28T10:27:51.078613Z,sampler-a,0,memory_total,16909332480.0
2026-06-28T10:27:51.078614Z,sampler-a,1,memory_used,26624.0
2026-06-28T10:27:51.078615Z,sampler-a,7,memory_used,26624.0
2026-06-28T10:27:51.078616Z,sampler-a,0,memory_used,15784360960.0
2026-06-28T10:27:51.078616Z,sampler-a,6,memory_used,26624.0
2026-06-28T10:27:51.078617Z,sampler-a,2,memory_used,26624.0
