time,container,chip,metric,value
2026-06-28T10:35:25.797469Z,trainer-a,0,memory_total,16909336064.0
2026-06-28T10:35:25.797474Z,trainer-a,0,memory_used,1999203840.0
2026-06-28T10:35:25.797479Z,trainer-a,0,duty_cycle,4.0
2026-06-28T10:36:25.796308Z,trainer-a,0,memory_total,16909336064.0
2026-06-28T10:36:25.796313Z,trainer-a,0,memory_used,4223555072.0
2026-06-28T10:36:25.796315Z,trainer-a,0,duty_cycle,75.0
2026-06-28T10:37:25.797094Z,trainer-a,0,memory_total,16909336064.0
2026-06-28T10:37:25.797099Z,trainer-a,0,memory_used,4544990208.0
2026-06-28T10:37:25.797103Z,trainer-a,0,duty_cycle,72.0
2026-06-28T10:38:15.797234Z,trainer-a,0,memory_total,16909336064.0
2026-06-28T10:38:15.797239Z,trainer-a,0,memory_used,4289763840.0
2026-06-28T10:38:15.797244Z,trainer-a,0,duty_cycle,74.0
2026-06-28T10:39:05.797278Z,trainer-a,0,memory_total,16909336064.0
2026-06-28T10:39:05.797285Z,trainer-a,0,memory_used,4289763840.0
2026-06-28T10:39:05.797288Z,trainer-a,0,duty_cycle,75.0
2026-06-28T10:39:55.796270Z,trainer-a,0,memory_total,16909336064.0
2026-06-28T10:39:55.796274Z,trainer-a,0,memory_used,4289763840.0
2026-06-28T10:39:55.796278Z,trainer-a,0,duty_cycle,72.0
2026-06-28T10:40:55.797900Z,trainer-a,0,memory_total,16909336064.0
2026-06-28T10:40:55.797902Z,trainer-a,0,memory_used,4223555072.0
2026-06-28T10:40:55.797904Z,trainer-a,0,duty_cycle,75.0
2026-06-28T10:41:55.796981Z,trainer-a,0,memory_total,16909336064.0
2026-06-28T10:41:55.796987Z,trainer-a,0,memory_used,4289762304.0
2026-06-28T10:41:55.796989Z,trainer-a,0,duty_cycle,74.0
2026-06-28T10:42:45.796681Z,trainer-a,0,memory_total,16909336064.0
2026-06-28T10:42:45.796683Z,trainer-a,0,memory_used,4289763840.0
2026-06-28T10:42:45.796685Z,trainer-a,0,duty_cycle,72.0
2026-06-28T10:43:45.797021Z,trainer-a,0,memory_total,16909336064.0
2026-06-28T10:43:45.797025Z,trainer-a,0,memory_used,3235959808.0
2026-06-28T10:43:45.797028Z,trainer-a,0,duty_cycle,0.0
2026-06-28T10:44:45.797219Z,trainer-a,0,memory_total,16909336064.0
2026-06-28T10:44:45.797224Z,trainer-a,0,memory_used,3235959808.0
2026-06-28T10:44:45.797226Z,trainer-a,0,duty_cycle,0.0
2026-06-28T10:45:45.797159Z,trainer-a,0,memory_total,16909336064.0
2026-06-28T10:45:45.797165Z,trainer-a,0,memory_used,3235959808.0
2026-06-28T10:45:45.797167Z,trainer-a,0,duty_cycle,0.0
2026-06-28T10:46:35.796261Z,trainer-a,0,memory_total,16909336064.0
2026-06-28T10:46:35.796265Z,trainer-a,0,memory_used,3235959808.0
2026-06-28T10:46:35.796268Z,trainer-a,0,duty_cycle,0.0
2026-06-28T10:47:35.795420Z,trainer-a,0,memory_total,16909336064.0
2026-06-28T10:47:35.795422Z,trainer-a,0,memory_used,3235959808.0
2026-06-28T10:47:35.795427Z,trainer-a,0,duty_cycle,0.0
2026-06-28T10:48:25.796993Z,trainer-a,0,memory_total,16909336064.0
2026-06-28T10:48:25.796998Z,trainer-a,0,memory_used,3235959808.0
2026-06-28T10:48:25.797Z,trainer-a,0,duty_cycle,0.0
2026-06-28T10:49:15.797150Z,trainer-a,0,memory_total,16909336064.0
2026-06-28T10:49:15.797152Z,trainer-a,0,memory_used,3235959808.0
2026-06-28T10:49:15.797155Z,trainer-a,0,duty_cycle,0.0
2026-06-28T10:50:05.796315Z,trainer-a,0,memory_total,16909336064.0
2026-06-28T10:50:05.796318Z,trainer-a,0,memory_used,3235959808.0
