ts,wall,phase,chip,duty_cycle_pct,mem_used_mib,mem_total_mib,mem_pct
1782642376.121,10:26:16,baseline,0,0.0,0,16126,0.0
1782642376.121,10:26:16,baseline,1,0.0,0,16126,0.0
1782642376.121,10:26:16,baseline,2,0.0,0,16126,0.0
1782642376.121,10:26:16,baseline,3,0.0,0,16126,0.0
1782642376.121,10:26:16,baseline,4,0.0,0,16126,0.0
1782642376.121,10:26:16,baseline,5,0.0,0,16126,0.0
1782642376.121,10:26:16,baseline,6,0.0,0,16126,0.0
1782642376.121,10:26:16,baseline,7,0.0,0,16126,0.0
1782642377.124,10:26:17,baseline,0,0.0,0,16126,0.0
1782642377.124,10:26:17,baseline,1,0.0,0,16126,0.0
1782642377.124,10:26:17,baseline,2,0.0,0,16126,0.0
1782642377.124,10:26:17,baseline,3,0.0,0,16126,0.0
1782642377.124,10:26:17,baseline,4,0.0,0,16126,0.0
1782642377.124,10:26:17,baseline,5,0.0,0,16126,0.0
1782642377.124,10:26:17,baseline,6,0.0,0,16126,0.0
1782642377.124,10:26:17,baseline,7,0.0,0,16126,0.0
1782642378.129,10:26:18,baseline,0,0.0,0,16126,0.0
1782642378.129,10:26:18,baseline,1,0.0,0,16126,0.0
1782642378.129,10:26:18,baseline,2,0.0,0,16126,0.0
1782642378.129,10:26:18,baseline,3,0.0,0,16126,0.0
1782642378.129,10:26:18,baseline,4,0.0,0,16126,0.0
1782642378.129,10:26:18,baseline,5,0.0,0,16126,0.0
1782642378.129,10:26:18,baseline,6,0.0,0,16126,0.0
1782642378.129,10:26:18,baseline,7,0.0,0,16126,0.0
1782642379.134,10:26:19,baseline,0,0.0,0,16126,0.0
1782642379.134,10:26:19,baseline,1,0.0,0,16126,0.0
1782642379.134,10:26:19,baseline,2,0.0,0,16126,0.0
1782642379.134,10:26:19,baseline,3,0.0,0,16126,0.0
1782642379.134,10:26:19,baseline,4,0.0,0,16126,0.0
1782642379.134,10:26:19,baseline,5,0.0,0,16126,0.0
1782642379.134,10:26:19,baseline,6,0.0,0,16126,0.0
1782642379.134,10:26:19,baseline,7,0.0,0,16126,0.0
1782642380.138,10:26:20,baseline,0,0.0,0,16126,0.0
1782642380.138,10:26:20,baseline,1,0.0,0,16126,0.0
1782642380.138,10:26:20,baseline,2,0.0,0,16126,0.0
1782642380.138,10:26:20,baseline,3,0.0,0,16126,0.0
1782642380.138,10:26:20,baseline,4,0.0,0,16126,0.0
1782642380.138,10:26:20,baseline,5,0.0,0,16126,0.0
1782642380.138,10:26:20,baseline,6,0.0,0,16126,0.0
1782642380.138,10:26:20,baseline,7,0.0,0,16126,0.0
1782642381.143,10:26:21,baseline,0,0.0,0,16126,0.0
1782642381.143,10:26:21,baseline,1,0.0,0,16126,0.0
1782642381.143,10:26:21,baseline,2,0.0,0,16126,0.0
1782642381.143,10:26:21,baseline,3,0.0,0,16126,0.0
1782642381.143,10:26:21,baseline,4,0.0,0,16126,0.0
1782642381.143,10:26:21,baseline,5,0.0,0,16126,0.0
1782642381.143,10:26:21,baseline,6,0.0,0,16126,0.0
1782642381.143,10:26:21,baseline,7,0.0,0,16126,0.0
1782642382.147,10:26:22,baseline,0,0.0,0,16126,0.0
1782642382.147,10:26:22,baseline,1,0.0,0,16126,0.0
1782642382.147,10:26:22,baseline,2,0.0,0,16126,0.0
1782642382.147,10:26:22,baseline,3,0.0,0,16126,0.0
1782642382.147,10:26:22,baseline,4,0.0,0,16126,0.0
1782642382.147,10:26:22,baseline,5,0.0,0,16126,0.0
1782642382.147,10:26:22,baseline,6,0.0,0,16126,0.0
1782642382.147,10:26:22,baseline,7,0.0,0,16126,0.0
1782642383.221,10:26:23,baseline,0,0.0,0,16126,0.0
1782642383.221,10:26:23,baseline,1,0.0,0,16126,0.0
1782642383.221,10:26:23,baseline,2,0.0,0,16126,0.0
1782642383.221,10:26:23,baseline,3,0.0,0,16126,0.0
1782642383.221,10:26:23,baseline,4,0.0,0,16126,0.0
1782642383.221,10:26:23,baseline,5,0.0,0,16126,0.0
1782642383.221,10:26:23,baseline,6,0.0,0,16126,0.0
1782642383.221,10:26:23,baseline,7,0.0,0,16126,0.0
1782642384.227,10:26:24,baseline,0,0.0,0,16126,0.0
1782642384.227,10:26:24,baseline,1,0.0,0,16126,0.0
1782642384.227,10:26:24,baseline,2,0.0,0,16126,0.0
1782642384.227,10:26:24,baseline,3,0.0,0,16126,0.0
1782642384.227,10:26:24,baseline,4,0.0,0,16126,0.0
1782642384.227,10:26:24,baseline,5,0.0,0,16126,0.0
1782642384.227,10:26:24,baseline,6,0.0,0,16126,0.0
1782642384.227,10:26:24,baseline,7,0.0,0,16126,0.0
1782642385.232,10:26:25,baseline,0,0.0,0,16126,0.0
1782642385.232,10:26:25,baseline,1,0.0,0,16126,0.0
1782642385.232,10:26:25,baseline,2,0.0,0,16126,0.0
1782642385.232,10:26:25,baseline,3,0.0,0,16126,0.0
