ts,wall,phase,chip,duty_cycle_pct,mem_used_mib,mem_total_mib,mem_pct
1782642916.316,10:35:16,baseline,0,0.0,0,16126,0.0
1782642917.319,10:35:17,baseline,0,0.0,0,16126,0.0
1782642918.324,10:35:18,baseline,0,0.0,0,16126,0.0
1782642919.328,10:35:19,baseline,0,0.0,0,16126,0.0
1782642920.332,10:35:20,baseline,0,0.0,0,16126,0.0
1782642921.338,10:35:21,baseline,0,0.5,162,16126,1.0
1782642922.343,10:35:22,baseline,0,0.5,162,16126,1.0
1782642923.348,10:35:23,baseline,0,0.5,162,16126,1.0
1782642924.353,10:35:24,baseline,0,0.5,162,16126,1.0
1782642925.357,10:35:25,baseline,0,0.5,162,16126,1.0
1782642926.362,10:35:26,baseline,0,4.0,1907,16126,11.8
1782642927.367,10:35:27,baseline,0,4.0,1907,16126,11.8
1782642928.371,10:35:28,baseline,0,4.0,1907,16126,11.8
1782642929.375,10:35:29,baseline,0,4.0,1907,16126,11.8
1782642930.379,10:35:30,baseline,0,4.0,1907,16126,11.8
1782642931.384,10:35:31,baseline,0,0.0,1907,16126,11.8
1782642932.388,10:35:32,baseline,0,0.0,1907,16126,11.8
1782642933.393,10:35:33,baseline,0,0.0,1907,16126,11.8
1782642934.398,10:35:34,baseline,0,0.0,1907,16126,11.8
1782642935.402,10:35:35,baseline,0,0.0,1907,16126,11.8
1782642936.408,10:35:36,baseline,0,0.5,3405,16126,21.1
1782642937.412,10:35:37,baseline,0,0.5,3405,16126,21.1
1782642938.417,10:35:38,baseline,0,0.5,3405,16126,21.1
1782642939.422,10:35:39,baseline,0,0.5,3405,16126,21.1
1782642940.426,10:35:40,baseline,0,0.5,3405,16126,21.1
1782642941.431,10:35:41,baseline,0,68.8,4091,16126,25.4
1782642942.435,10:35:42,baseline,0,68.8,4091,16126,25.4
1782642943.44,10:35:43,baseline,0,68.8,4091,16126,25.4
1782642944.444,10:35:44,baseline,0,68.8,4091,16126,25.4
1782642945.449,10:35:45,baseline,0,75.0,4037,16126,25.0
1782642946.453,10:35:46,baseline,0,75.0,4037,16126,25.0
1782642947.457,10:35:47,baseline,0,75.0,4037,16126,25.0
1782642948.462,10:35:48,baseline,0,75.0,4037,16126,25.0
1782642949.466,10:35:49,baseline,0,75.0,4037,16126,25.0
