ts,wall,phase,chip,duty_cycle_pct,mem_used_mib,mem_total_mib,mem_pct
1782670856.623,18:20:56,timeslice,0,0.0,0,16126,0.0
1782670856.623,18:20:56,timeslice,1,0.0,0,16126,0.0
1782670856.623,18:20:56,timeslice,2,0.0,0,16126,0.0
1782670856.623,18:20:56,timeslice,3,0.0,0,16126,0.0
1782670856.623,18:20:56,timeslice,4,0.0,0,16126,0.0
1782670856.623,18:20:56,timeslice,5,0.0,0,16126,0.0
1782670856.623,18:20:56,timeslice,6,0.0,0,16126,0.0
1782670856.623,18:20:56,timeslice,7,0.0,0,16126,0.0
1782670857.628,18:20:57,timeslice,0,0.0,0,16126,0.0
1782670857.628,18:20:57,timeslice,1,0.0,0,16126,0.0
1782670857.628,18:20:57,timeslice,2,0.0,0,16126,0.0
1782670857.628,18:20:57,timeslice,3,0.0,0,16126,0.0
1782670857.628,18:20:57,timeslice,4,0.0,0,16126,0.0
1782670857.628,18:20:57,timeslice,5,0.0,0,16126,0.0
1782670857.628,18:20:57,timeslice,6,0.0,0,16126,0.0
1782670857.628,18:20:57,timeslice,7,0.0,0,16126,0.0
1782670858.633,18:20:58,timeslice,0,0.0,0,16126,0.0
1782670858.633,18:20:58,timeslice,1,0.0,0,16126,0.0
1782670858.633,18:20:58,timeslice,2,0.0,0,16126,0.0
1782670858.633,18:20:58,timeslice,3,0.0,0,16126,0.0
1782670858.633,18:20:58,timeslice,4,0.0,0,16126,0.0
1782670858.633,18:20:58,timeslice,5,0.0,0,16126,0.0
1782670858.633,18:20:58,timeslice,6,0.0,0,16126,0.0
1782670858.633,18:20:58,timeslice,7,0.0,0,16126,0.0
1782670859.637,18:20:59,timeslice,0,0.0,0,16126,0.0
1782670859.637,18:20:59,timeslice,1,0.0,0,16126,0.0
1782670859.637,18:20:59,timeslice,2,0.0,0,16126,0.0
1782670859.637,18:20:59,timeslice,3,0.0,0,16126,0.0
1782670859.637,18:20:59,timeslice,4,0.0,0,16126,0.0
1782670859.637,18:20:59,timeslice,5,0.0,0,16126,0.0
1782670859.637,18:20:59,timeslice,6,0.0,0,16126,0.0
1782670859.637,18:20:59,timeslice,7,0.0,0,16126,0.0
1782670860.642,18:21:00,timeslice,0,0.0,0,16126,0.0
1782670860.642,18:21:00,timeslice,1,0.0,0,16126,0.0
1782670860.642,18:21:00,timeslice,2,0.0,0,16126,0.0
1782670860.642,18:21:00,timeslice,3,0.0,0,16126,0.0
1782670860.642,18:21:00,timeslice,4,0.0,0,16126,0.0
1782670860.642,18:21:00,timeslice,5,0.0,0,16126,0.0
1782670860.642,18:21:00,timeslice,6,0.0,0,16126,0.0
1782670860.642,18:21:00,timeslice,7,0.0,0,16126,0.0
1782670861.647,18:21:01,timeslice,0,0.0,0,16126,0.0
1782670861.647,18:21:01,timeslice,1,0.0,0,16126,0.0
1782670861.647,18:21:01,timeslice,2,0.0,0,16126,0.0
1782670861.647,18:21:01,timeslice,3,0.0,0,16126,0.0
1782670861.647,18:21:01,timeslice,4,0.0,0,16126,0.0
1782670861.647,18:21:01,timeslice,5,0.0,0,16126,0.0
1782670861.647,18:21:01,timeslice,6,0.0,0,16126,0.0
1782670861.647,18:21:01,timeslice,7,0.0,0,16126,0.0
1782670862.652,18:21:02,timeslice,0,0.0,0,16126,0.0
1782670862.652,18:21:02,timeslice,1,0.0,0,16126,0.0
1782670862.652,18:21:02,timeslice,2,0.0,0,16126,0.0
1782670862.652,18:21:02,timeslice,3,0.0,0,16126,0.0
1782670862.652,18:21:02,timeslice,4,0.0,0,16126,0.0
1782670862.652,18:21:02,timeslice,5,0.0,0,16126,0.0
1782670862.652,18:21:02,timeslice,6,0.0,0,16126,0.0
1782670862.652,18:21:02,timeslice,7,0.0,0,16126,0.0
1782670863.657,18:21:03,timeslice,0,0.0,0,16126,0.0
1782670863.657,18:21:03,timeslice,1,0.0,0,16126,0.0
1782670863.657,18:21:03,timeslice,2,0.0,0,16126,0.0
1782670863.657,18:21:03,timeslice,3,0.0,0,16126,0.0
1782670863.657,18:21:03,timeslice,4,0.0,0,16126,0.0
1782670863.657,18:21:03,timeslice,5,0.0,0,16126,0.0
1782670863.657,18:21:03,timeslice,6,0.0,0,16126,0.0
1782670863.657,18:21:03,timeslice,7,0.0,0,16126,0.0
1782670864.663,18:21:04,timeslice,0,0.0,0,16126,0.0
1782670864.663,18:21:04,timeslice,1,0.0,0,16126,0.0
1782670864.663,18:21:04,timeslice,2,0.0,0,16126,0.0
1782670864.663,18:21:04,timeslice,3,0.0,0,16126,0.0
1782670864.663,18:21:04,timeslice,4,0.0,0,16126,0.0
1782670864.663,18:21:04,timeslice,5,0.0,0,16126,0.0
1782670864.663,18:21:04,timeslice,6,0.0,0,16126,0.0
1782670864.663,18:21:04,timeslice,7,0.0,0,16126,0.0
1782670865.668,18:21:05,timeslice,0,0.0,0,16126,0.0
1782670865.668,18:21:05,timeslice,1,0.0,0,16126,0.0
1782670865.668,18:21:05,timeslice,2,0.0,0,16126,0.0
1782670865.668,18:21:05,timeslice,3,0.0,0,16126,0.0
1782670865.668,18:21:05,timeslice,4,0.0,0,16126,0.0
1782670865.668,18:21:05,timeslice,5,0.0,0,16126,0.0
1782670865.668,18:21:05,timeslice,6,0.0,0,16126,0.0
1782670865.668,18:21:05,timeslice,7,0.0,0,16126,0.0
1782670866.672,18:21:06,timeslice,0,0.4,151,16126,0.9
1782670866.672,18:21:06,timeslice,1,0.0,0,16126,0.0
1782670866.672,18:21:06,timeslice,2,0.0,0,16126,0.0
1782670866.672,18:21:06,timeslice,3,0.0,0,16126,0.0
1782670866.672,18:21:06,timeslice,4,0.0,0,16126,0.0
1782670866.672,18:21:06,timeslice,5,0.0,0,16126,0.0
1782670866.672,18:21:06,timeslice,6,0.0,0,16126,0.0
1782670866.672,18:21:06,timeslice,7,0.0,0,16126,0.0
1782670867.677,18:21:07,timeslice,0,0.4,151,16126,0.9
1782670867.677,18:21:07,timeslice,1,0.0,0,16126,0.0
1782670867.677,18:21:07,timeslice,2,0.0,0,16126,0.0
1782670867.677,18:21:07,timeslice,3,0.0,0,16126,0.0
1782670867.677,18:21:07,timeslice,4,0.0,0,16126,0.0
1782670867.677,18:21:07,timeslice,5,0.0,0,16126,0.0
1782670867.677,18:21:07,timeslice,6,0.0,0,16126,0.0
1782670867.677,18:21:07,timeslice,7,0.0,0,16126,0.0
1782670868.681,18:21:08,timeslice,0,0.4,151,16126,0.9
1782670868.681,18:21:08,timeslice,1,0.0,0,16126,0.0
1782670868.681,18:21:08,timeslice,2,0.0,0,16126,0.0
1782670868.681,18:21:08,timeslice,3,0.0,0,16126,0.0
1782670868.681,18:21:08,timeslice,4,0.0,0,16126,0.0
1782670868.681,18:21:08,timeslice,5,0.0,0,16126,0.0
1782670868.681,18:21:08,timeslice,6,0.0,0,16126,0.0
1782670868.681,18:21:08,timeslice,7,0.0,0,16126,0.0
1782670869.686,18:21:09,timeslice,0,0.4,151,16126,0.9
1782670869.686,18:21:09,timeslice,1,0.0,0,16126,0.0
1782670869.686,18:21:09,timeslice,2,0.0,0,16126,0.0
1782670869.686,18:21:09,timeslice,3,0.0,0,16126,0.0
1782670869.686,18:21:09,timeslice,4,0.0,0,16126,0.0
1782670869.686,18:21:09,timeslice,5,0.0,0,16126,0.0
1782670869.686,18:21:09,timeslice,6,0.0,0,16126,0.0
1782670869.686,18:21:09,timeslice,7,0.0,0,16126,0.0
1782670870.69,18:21:10,timeslice,0,0.4,151,16126,0.9
1782670870.69,18:21:10,timeslice,1,0.0,0,16126,0.0
1782670870.69,18:21:10,timeslice,2,0.0,0,16126,0.0
1782670870.69,18:21:10,timeslice,3,0.0,0,16126,0.0
1782670870.69,18:21:10,timeslice,4,0.0,0,16126,0.0
1782670870.69,18:21:10,timeslice,5,0.0,0,16126,0.0
1782670870.69,18:21:10,timeslice,6,0.0,0,16126,0.0
1782670870.69,18:21:10,timeslice,7,0.0,0,16126,0.0
1782670871.695,18:21:11,timeslice,0,0.6,313,16126,1.9
1782670871.695,18:21:11,timeslice,1,0.0,0,16126,0.0
1782670871.695,18:21:11,timeslice,2,0.0,0,16126,0.0
1782670871.695,18:21:11,timeslice,3,0.0,0,16126,0.0
1782670871.695,18:21:11,timeslice,4,0.0,0,16126,0.0
1782670871.695,18:21:11,timeslice,5,0.0,0,16126,0.0
1782670871.695,18:21:11,timeslice,6,0.0,0,16126,0.0
1782670871.695,18:21:11,timeslice,7,0.0,0,16126,0.0
1782670872.7,18:21:12,timeslice,0,0.6,313,16126,1.9
1782670872.7,18:21:12,timeslice,1,0.0,0,16126,0.0
1782670872.7,18:21:12,timeslice,2,0.0,0,16126,0.0
1782670872.7,18:21:12,timeslice,3,0.0,0,16126,0.0
1782670872.7,18:21:12,timeslice,4,0.0,0,16126,0.0
1782670872.7,18:21:12,timeslice,5,0.0,0,16126,0.0
1782670872.7,18:21:12,timeslice,6,0.0,0,16126,0.0
1782670872.7,18:21:12,timeslice,7,0.0,0,16126,0.0
1782670873.705,18:21:13,timeslice,0,0.6,313,16126,1.9
1782670873.705,18:21:13,timeslice,1,0.0,0,16126,0.0
1782670873.705,18:21:13,timeslice,2,0.0,0,16126,0.0
1782670873.705,18:21:13,timeslice,3,0.0,0,16126,0.0
1782670873.705,18:21:13,timeslice,4,0.0,0,16126,0.0
1782670873.705,18:21:13,timeslice,5,0.0,0,16126,0.0
1782670873.705,18:21:13,timeslice,6,0.0,0,16126,0.0
1782670873.705,18:21:13,timeslice,7,0.0,0,16126,0.0
1782670874.71,18:21:14,timeslice,0,0.6,313,16126,1.9
