time,container,chip,metric,value
2026-06-28T18:21:01.081013Z,sampler-a,4,memory_total,16909332480.0
2026-06-28T18:21:01.081017Z,sampler-a,2,memory_total,16909332480.0
2026-06-28T18:21:01.081018Z,sampler-a,1,memory_total,16909332480.0
2026-06-28T18:21:01.081018Z,sampler-a,5,memory_total,16909332480.0
2026-06-28T18:21:01.081019Z,sampler-a,7,memory_total,16909332480.0
2026-06-28T18:21:01.081020Z,sampler-a,0,memory_total,16909332480.0
2026-06-28T18:21:01.081021Z,sampler-a,3,memory_total,16909332480.0
2026-06-28T18:21:01.081021Z,sampler-a,6,memory_total,16909332480.0
2026-06-28T18:21:01.081022Z,sampler-a,5,memory_used,26624.0
2026-06-28T18:21:01.081024Z,sampler-a,0,memory_used,26624.0
2026-06-28T18:21:01.081025Z,sampler-a,1,memory_used,26624.0
2026-06-28T18:21:01.081025Z,sampler-a,2,memory_used,26624.0
2026-06-28T18:21:01.081026Z,sampler-a,6,memory_used,26624.0
2026-06-28T18:21:01.081027Z,sampler-a,4,memory_used,26624.0
2026-06-28T18:21:01.081028Z,sampler-a,3,memory_used,26624.0
2026-06-28T18:21:01.081029Z,sampler-a,7,memory_used,26624.0
2026-06-28T18:21:01.081033Z,sampler-a,3,duty_cycle,0.0
2026-06-28T18:21:01.081034Z,sampler-a,5,duty_cycle,0.0
2026-06-28T18:21:01.081035Z,sampler-a,7,duty_cycle,0.0
2026-06-28T18:21:01.081037Z,sampler-a,6,duty_cycle,0.0
2026-06-28T18:21:01.081038Z,sampler-a,2,duty_cycle,0.0
2026-06-28T18:21:01.081039Z,sampler-a,1,duty_cycle,0.0
2026-06-28T18:21:01.081039Z,sampler-a,4,duty_cycle,0.0
2026-06-28T18:21:01.081040Z,sampler-a,0,duty_cycle,0.0
2026-06-28T18:22:01.079593Z,sampler-a,4,memory_total,16909332480.0
2026-06-28T18:22:01.079596Z,sampler-a,1,memory_total,16909332480.0
2026-06-28T18:22:01.079597Z,sampler-a,2,memory_total,16909332480.0
2026-06-28T18:22:01.079598Z,sampler-a,6,memory_total,16909332480.0
2026-06-28T18:22:01.079599Z,sampler-a,0,memory_total,16909332480.0
2026-06-28T18:22:01.079599Z,sampler-a,3,memory_total,16909332480.0
2026-06-28T18:22:01.079601Z,sampler-a,5,memory_total,16909332480.0
2026-06-28T18:22:01.079602Z,sampler-a,7,memory_total,16909332480.0
2026-06-28T18:22:01.079603Z,sampler-a,7,memory_used,26624.0
2026-06-28T18:22:01.079604Z,sampler-a,0,memory_used,15784244736.0
2026-06-28T18:22:01.079604Z,sampler-a,1,memory_used,26624.0
2026-06-28T18:22:01.079605Z,sampler-a,6,memory_used,26624.0
2026-06-28T18:22:01.079606Z,sampler-a,4,memory_used,26624.0
2026-06-28T18:22:01.079607Z,sampler-a,2,memory_used,26624.0
2026-06-28T18:22:01.079607Z,sampler-a,3,memory_used,26624.0
2026-06-28T18:22:01.079608Z,sampler-a,5,memory_used,26624.0
2026-06-28T18:22:01.079613Z,sampler-a,6,duty_cycle,0.0
2026-06-28T18:22:01.079615Z,sampler-a,3,duty_cycle,0.0
2026-06-28T18:22:01.079616Z,sampler-a,7,duty_cycle,0.0
2026-06-28T18:22:01.079617Z,sampler-a,0,duty_cycle,0.0
2026-06-28T18:22:01.079617Z,sampler-a,5,duty_cycle,0.0
2026-06-28T18:22:01.079619Z,sampler-a,2,duty_cycle,0.0
2026-06-28T18:22:01.079619Z,sampler-a,4,duty_cycle,0.0
2026-06-28T18:22:01.079620Z,sampler-a,1,duty_cycle,0.0
2026-06-28T18:22:51.080356Z,sampler-a,1,memory_total,16909332480.0
2026-06-28T18:22:51.080363Z,sampler-a,3,memory_total,16909332480.0
2026-06-28T18:22:51.080364Z,sampler-a,6,memory_total,16909332480.0
2026-06-28T18:22:51.080367Z,sampler-a,2,memory_total,16909332480.0
2026-06-28T18:22:51.080368Z,sampler-a,5,memory_total,16909332480.0
2026-06-28T18:22:51.080369Z,sampler-a,0,memory_total,16909332480.0
2026-06-28T18:22:51.080369Z,sampler-a,7,memory_total,16909332480.0
2026-06-28T18:22:51.080372Z,sampler-a,4,memory_total,16909332480.0
2026-06-28T18:22:51.080373Z,sampler-a,3,memory_used,26624.0
2026-06-28T18:22:51.080374Z,sampler-a,5,memory_used,26624.0
2026-06-28T18:22:51.080375Z,sampler-a,1,memory_used,26624.0
2026-06-28T18:22:51.080375Z,sampler-a,7,memory_used,26624.0
2026-06-28T18:22:51.080377Z,sampler-a,4,memory_used,26624.0
2026-06-28T18:22:51.080378Z,sampler-a,0,memory_used,15784640000.0
2026-06-28T18:22:51.080378Z,sampler-a,6,memory_used,26624.0
2026-06-28T18:22:51.080379Z,sampler-a,2,memory_used,26624.0
2026-06-28T18:22:51.080382Z,sampler-a,2,duty_cycle,0.0
2026-06-28T18:22:51.080383Z,sampler-a,1,duty_cycle,0.0
2026-06-28T18:22:51.080385Z,sampler-a,7,duty_cycle,0.0
2026-06-28T18:22:51.080386Z,sampler-a,6,duty_cycle,0.0
2026-06-28T18:22:51.080387Z,sampler-a,0,duty_cycle,0.0
2026-06-28T18:22:51.080387Z,sampler-a,4,duty_cycle,0.0
2026-06-28T18:22:51.080389Z,sampler-a,5,duty_cycle,0.0
2026-06-28T18:22:51.080390Z,sampler-a,3,duty_cycle,0.0
2026-06-28T18:23:51.080363Z,sampler-a,2,memory_total,16909332480.0
2026-06-28T18:23:51.080368Z,sampler-a,4,memory_total,16909332480.0
2026-06-28T18:23:51.080369Z,sampler-a,0,memory_total,16909332480.0
2026-06-28T18:23:51.080371Z,sampler-a,1,memory_total,16909332480.0
2026-06-28T18:23:51.080372Z,sampler-a,6,memory_total,16909332480.0
2026-06-28T18:23:51.080374Z,sampler-a,7,memory_total,16909332480.0
2026-06-28T18:23:51.080375Z,sampler-a,5,memory_total,16909332480.0
2026-06-28T18:23:51.080376Z,sampler-a,3,memory_total,16909332480.0
2026-06-28T18:23:51.080377Z,sampler-a,3,memory_used,26624.0
2026-06-28T18:23:51.080379Z,sampler-a,6,memory_used,26624.0
2026-06-28T18:23:51.080379Z,sampler-a,7,memory_used,26624.0
2026-06-28T18:23:51.080380Z,sampler-a,2,memory_used,26624.0
2026-06-28T18:23:51.080381Z,sampler-a,5,memory_used,26624.0
2026-06-28T18:23:51.080382Z,sampler-a,4,memory_used,26624.0
2026-06-28T18:23:51.080383Z,sampler-a,0,memory_used,16086048768.0
2026-06-28T18:23:51.080384Z,sampler-a,1,memory_used,26624.0
2026-06-28T18:23:51.080391Z,sampler-a,6,duty_cycle,0.0
2026-06-28T18:23:51.080392Z,sampler-a,3,duty_cycle,0.0
2026-06-28T18:23:51.080393Z,sampler-a,0,duty_cycle,99.0
2026-06-28T18:23:51.080395Z,sampler-a,4,duty_cycle,0.0
2026-06-28T18:23:51.080396Z,sampler-a,7,duty_cycle,0.0
2026-06-28T18:23:51.080411Z,sampler-a,2,duty_cycle,0.0
2026-06-28T18:23:51.080413Z,sampler-a,5,duty_cycle,0.0
2026-06-28T18:23:51.080415Z,sampler-a,1,duty_cycle,0.0
2026-06-28T18:24:51.080319Z,sampler-a,1,memory_total,16909332480.0
2026-06-28T18:24:51.080324Z,sampler-a,4,memory_total,16909332480.0
2026-06-28T18:24:51.080327Z,sampler-a,0,memory_total,16909332480.0
2026-06-28T18:24:51.080328Z,sampler-a,2,memory_total,16909332480.0
2026-06-28T18:24:51.080329Z,sampler-a,7,memory_total,16909332480.0
2026-06-28T18:24:51.080330Z,sampler-a,3,memory_total,16909332480.0
2026-06-28T18:24:51.080330Z,sampler-a,5,memory_total,16909332480.0
2026-06-28T18:24:51.080333Z,sampler-a,6,memory_total,16909332480.0
2026-06-28T18:24:51.080335Z,sampler-a,0,memory_used,15983324672.0
2026-06-28T18:24:51.080336Z,sampler-a,7,memory_used,26624.0
2026-06-28T18:24:51.080337Z,sampler-a,2,memory_used,26624.0
2026-06-28T18:24:51.080337Z,sampler-a,3,memory_used,26624.0
2026-06-28T18:24:51.080338Z,sampler-a,6,memory_used,26624.0
2026-06-28T18:24:51.080339Z,sampler-a,4,memory_used,26624.0
2026-06-28T18:24:51.080340Z,sampler-a,1,memory_used,26624.0
2026-06-28T18:24:51.080342Z,sampler-a,5,memory_used,26624.0
2026-06-28T18:24:51.080347Z,sampler-a,3,duty_cycle,0.0
2026-06-28T18:24:51.080349Z,sampler-a,6,duty_cycle,0.0
2026-06-28T18:24:51.080351Z,sampler-a,5,duty_cycle,0.0
2026-06-28T18:24:51.080352Z,sampler-a,0,duty_cycle,98.0
2026-06-28T18:24:51.080353Z,sampler-a,1,duty_cycle,0.0
2026-06-28T18:24:51.080354Z,sampler-a,2,duty_cycle,0.0
2026-06-28T18:24:51.080354Z,sampler-a,7,duty_cycle,0.0
2026-06-28T18:24:51.080355Z,sampler-a,4,duty_cycle,0.0
2026-06-28T18:25:41.082392Z,sampler-a,0,memory_total,16909332480.0
2026-06-28T18:25:41.082397Z,sampler-a,4,memory_total,16909332480.0
2026-06-28T18:25:41.082402Z,sampler-a,1,memory_total,16909332480.0
2026-06-28T18:25:41.082403Z,sampler-a,7,memory_total,16909332480.0
2026-06-28T18:25:41.082404Z,sampler-a,5,memory_total,16909332480.0
2026-06-28T18:25:41.082405Z,sampler-a,2,memory_total,16909332480.0
2026-06-28T18:25:41.082406Z,sampler-a,3,memory_total,16909332480.0
2026-06-28T18:25:41.082407Z,sampler-a,6,memory_total,16909332480.0
2026-06-28T18:25:41.082409Z,sampler-a,7,memory_used,26624.0
2026-06-28T18:25:41.082411Z,sampler-a,0,memory_used,15983409152.0
2026-06-28T18:25:41.082411Z,sampler-a,5,memory_used,26624.0
2026-06-28T18:25:41.082414Z,sampler-a,3,memory_used,26624.0
2026-06-28T18:25:41.082415Z,sampler-a,2,memory_used,26624.0
2026-06-28T18:25:41.082416Z,sampler-a,4,memory_used,26624.0
2026-06-28T18:25:41.082417Z,sampler-a,1,memory_used,26624.0
2026-06-28T18:25:41.082418Z,sampler-a,6,memory_used,26624.0
2026-06-28T18:25:41.082422Z,sampler-a,3,duty_cycle,0.0
2026-06-28T18:25:41.082424Z,sampler-a,0,duty_cycle,95.0
2026-06-28T18:25:41.082425Z,sampler-a,4,duty_cycle,0.0
2026-06-28T18:25:41.082426Z,sampler-a,1,duty_cycle,0.0
2026-06-28T18:25:41.082429Z,sampler-a,5,duty_cycle,0.0
2026-06-28T18:25:41.082430Z,sampler-a,6,duty_cycle,0.0
2026-06-28T18:25:41.082430Z,sampler-a,7,duty_cycle,0.0
2026-06-28T18:25:41.082431Z,sampler-a,2,duty_cycle,0.0
2026-06-28T18:26:41.080099Z,sampler-a,0,memory_total,16909332480.0
2026-06-28T18:26:41.080101Z,sampler-a,3,memory_total,16909332480.0
2026-06-28T18:26:41.080101Z,sampler-a,5,memory_total,16909332480.0
2026-06-28T18:26:41.080102Z,sampler-a,4,memory_total,16909332480.0
2026-06-28T18:26:41.080103Z,sampler-a,2,memory_total,16909332480.0
2026-06-28T18:26:41.080103Z,sampler-a,6,memory_total,16909332480.0
