ts,wall,phase,chip,duty_cycle_pct,mem_used_mib,mem_total_mib,mem_pct
1782671402.144,18:30:02,timeslice,0,0.0,0,16126,0.0
1782671403.148,18:30:03,timeslice,0,0.0,0,16126,0.0
1782671404.152,18:30:04,timeslice,0,0.0,0,16126,0.0
1782671405.157,18:30:05,timeslice,0,0.0,0,16126,0.0
1782671406.161,18:30:06,timeslice,0,0.0,0,16126,0.0
1782671407.166,18:30:07,timeslice,0,0.5,162,16126,1.0
1782671408.17,18:30:08,timeslice,0,0.5,162,16126,1.0
1782671409.175,18:30:09,timeslice,0,0.5,162,16126,1.0
1782671410.18,18:30:10,timeslice,0,0.5,162,16126,1.0
1782671411.184,18:30:11,timeslice,0,0.5,162,16126,1.0
1782671412.189,18:30:12,timeslice,0,4.0,1907,16126,11.8
1782671413.194,18:30:13,timeslice,0,4.0,1907,16126,11.8
1782671414.199,18:30:14,timeslice,0,4.0,1907,16126,11.8
1782671415.203,18:30:15,timeslice,0,4.0,1907,16126,11.8
1782671416.208,18:30:16,timeslice,0,4.0,1907,16126,11.8
1782671417.213,18:30:17,timeslice,0,0.0,1907,16126,11.8
1782671418.217,18:30:18,timeslice,0,0.0,1907,16126,11.8
1782671419.222,18:30:19,timeslice,0,0.0,1907,16126,11.8
1782671420.227,18:30:20,timeslice,0,0.0,1907,16126,11.8
1782671421.232,18:30:21,timeslice,0,0.0,1907,16126,11.8
1782671422.236,18:30:22,timeslice,0,0.5,4037,16126,25.0
1782671423.241,18:30:23,timeslice,0,0.5,4037,16126,25.0
1782671424.246,18:30:24,timeslice,0,0.5,4037,16126,25.0
1782671425.25,18:30:25,timeslice,0,0.5,4037,16126,25.0
1782671426.254,18:30:26,timeslice,0,0.5,4037,16126,25.0
1782671427.258,18:30:27,timeslice,0,68.8,4028,16126,25.0
1782671428.262,18:30:28,timeslice,0,68.8,4028,16126,25.0
1782671429.267,18:30:29,timeslice,0,68.8,4028,16126,25.0
1782671430.272,18:30:30,timeslice,0,68.8,4028,16126,25.0
1782671431.277,18:30:31,timeslice,0,75.0,4028,16126,25.0
1782671432.282,18:30:32,timeslice,0,75.0,4136,16126,25.6
1782671433.286,18:30:33,timeslice,0,75.0,4136,16126,25.6
1782671434.29,18:30:34,timeslice,0,75.0,4136,16126,25.6
1782671435.295,18:30:35,timeslice,0,75.0,4136,16126,25.6
