time,container,chip,metric,value
2026-06-28T01:23:31.080950Z,sampler-a,3,memory_total,16909332480.0
2026-06-28T01:23:31.080954Z,sampler-a,2,memory_total,16909332480.0
2026-06-28T01:23:31.080956Z,sampler-a,7,memory_total,16909332480.0
2026-06-28T01:23:31.080957Z,sampler-a,5,memory_total,16909332480.0
2026-06-28T01:23:31.080958Z,sampler-a,4,memory_total,16909332480.0
2026-06-28T01:23:31.080959Z,sampler-a,1,memory_total,16909332480.0
2026-06-28T01:23:31.080960Z,sampler-a,0,memory_total,16909332480.0
2026-06-28T01:23:31.080960Z,sampler-a,6,memory_total,16909332480.0
2026-06-28T01:23:31.080961Z,sampler-a,2,memory_used,26624.0
2026-06-28T01:23:31.080962Z,sampler-a,5,memory_used,26624.0
2026-06-28T01:23:31.080963Z,sampler-a,7,memory_used,26624.0
2026-06-28T01:23:31.080964Z,sampler-a,0,memory_used,350902272.0
2026-06-28T01:23:31.080965Z,sampler-a,4,memory_used,26624.0
2026-06-28T01:23:31.080967Z,sampler-a,1,memory_used,26624.0
2026-06-28T01:23:31.080967Z,sampler-a,6,memory_used,26624.0
2026-06-28T01:23:31.080969Z,sampler-a,3,memory_used,26624.0
2026-06-28T01:24:31.078899Z,sampler-a,5,memory_total,16909332480.0
2026-06-28T01:24:31.078901Z,sampler-a,4,memory_total,16909332480.0
2026-06-28T01:24:31.078902Z,sampler-a,1,memory_total,16909332480.0
2026-06-28T01:24:31.078903Z,sampler-a,0,memory_total,16909332480.0
2026-06-28T01:24:31.078903Z,sampler-a,6,memory_total,16909332480.0
2026-06-28T01:24:31.078904Z,sampler-a,2,memory_total,16909332480.0
2026-06-28T01:24:31.078905Z,sampler-a,3,memory_total,16909332480.0
2026-06-28T01:24:31.078906Z,sampler-a,7,memory_total,16909332480.0
2026-06-28T01:24:31.078907Z,sampler-a,6,memory_used,26624.0
2026-06-28T01:24:31.078908Z,sampler-a,0,memory_used,15784308736.0
2026-06-28T01:24:31.078909Z,sampler-a,4,memory_used,26624.0
2026-06-28T01:24:31.078910Z,sampler-a,2,memory_used,26624.0
2026-06-28T01:24:31.078910Z,sampler-a,5,memory_used,26624.0
2026-06-28T01:24:31.078911Z,sampler-a,7,memory_used,26624.0
2026-06-28T01:24:31.078912Z,sampler-a,1,memory_used,26624.0
2026-06-28T01:24:31.078912Z,sampler-a,3,memory_used,26624.0
2026-06-28T01:25:31.080225Z,sampler-a,4,memory_total,16909332480.0
2026-06-28T01:25:31.080229Z,sampler-a,5,memory_total,16909332480.0
2026-06-28T01:25:31.080231Z,sampler-a,1,memory_total,16909332480.0
2026-06-28T01:25:31.080231Z,sampler-a,7,memory_total,16909332480.0
2026-06-28T01:25:31.080232Z,sampler-a,0,memory_total,16909332480.0
2026-06-28T01:25:31.080235Z,sampler-a,6,memory_total,16909332480.0
2026-06-28T01:25:31.080236Z,sampler-a,2,memory_total,16909332480.0
2026-06-28T01:25:31.080237Z,sampler-a,3,memory_total,16909332480.0
2026-06-28T01:25:31.080238Z,sampler-a,1,memory_used,26624.0
2026-06-28T01:25:31.080239Z,sampler-a,4,memory_used,26624.0
2026-06-28T01:25:31.080241Z,sampler-a,0,memory_used,15852933632.0
2026-06-28T01:25:31.080243Z,sampler-a,7,memory_used,26624.0
