time,container,chip,metric,value
2026-06-28T01:32:25.796558Z,trainer-a,4,memory_total,16909332480.0
2026-06-28T01:32:25.796563Z,trainer-a,1,memory_total,16909332480.0
2026-06-28T01:32:25.796563Z,trainer-a,5,memory_total,16909332480.0
2026-06-28T01:32:25.796566Z,trainer-a,2,memory_total,16909332480.0
2026-06-28T01:32:25.796568Z,trainer-a,7,memory_total,16909332480.0
2026-06-28T01:32:25.796569Z,trainer-a,0,memory_total,16909332480.0
2026-06-28T01:32:25.796570Z,trainer-a,3,memory_total,16909332480.0
2026-06-28T01:32:25.796571Z,trainer-a,1,memory_used,1992274944.0
2026-06-28T01:32:25.796571Z,trainer-a,6,memory_total,16909332480.0
2026-06-28T01:32:25.796573Z,trainer-a,3,memory_used,1992274944.0
2026-06-28T01:32:25.796574Z,trainer-a,0,memory_used,1999901184.0
2026-06-28T01:32:25.796575Z,trainer-a,4,memory_used,1992274944.0
2026-06-28T01:32:25.796576Z,trainer-a,6,memory_used,1992274944.0
2026-06-28T01:32:25.796577Z,trainer-a,2,memory_used,1992274944.0
2026-06-28T01:32:25.796577Z,trainer-a,5,memory_used,1992274944.0
2026-06-28T01:32:25.796583Z,trainer-a,7,memory_used,1992274944.0
2026-06-28T01:32:25.796587Z,trainer-a,7,duty_cycle,0.0
2026-06-28T01:32:25.796588Z,trainer-a,2,duty_cycle,0.0
2026-06-28T01:32:25.796589Z,trainer-a,0,duty_cycle,4.0
2026-06-28T01:32:25.796589Z,trainer-a,4,duty_cycle,0.0
2026-06-28T01:32:25.796590Z,trainer-a,1,duty_cycle,0.0
2026-06-28T01:32:25.796590Z,trainer-a,6,duty_cycle,0.0
2026-06-28T01:32:25.796591Z,trainer-a,5,duty_cycle,0.0
2026-06-28T01:32:25.796592Z,trainer-a,3,duty_cycle,0.0
2026-06-28T01:33:15.797295Z,trainer-a,4,memory_total,16909332480.0
2026-06-28T01:33:15.797299Z,trainer-a,6,memory_total,16909332480.0
2026-06-28T01:33:15.797301Z,trainer-a,7,memory_total,16909332480.0
2026-06-28T01:33:15.797302Z,trainer-a,0,memory_total,16909332480.0
2026-06-28T01:33:15.797304Z,trainer-a,2,memory_total,16909332480.0
2026-06-28T01:33:15.797305Z,trainer-a,3,memory_total,16909332480.0
2026-06-28T01:33:15.797307Z,trainer-a,1,memory_total,16909332480.0
2026-06-28T01:33:15.797308Z,trainer-a,5,memory_total,16909332480.0
2026-06-28T01:33:15.797309Z,trainer-a,3,memory_used,4217417728.0
2026-06-28T01:33:15.797310Z,trainer-a,2,memory_used,4217417728.0
2026-06-28T01:33:15.797311Z,trainer-a,4,memory_used,4217417728.0
2026-06-28T01:33:15.797312Z,trainer-a,1,memory_used,4217417728.0
2026-06-28T01:33:15.797313Z,trainer-a,0,memory_used,4224962048.0
2026-06-28T01:33:15.797315Z,trainer-a,5,memory_used,4217417728.0
2026-06-28T01:33:15.797315Z,trainer-a,7,memory_used,4217417728.0
2026-06-28T01:33:15.797317Z,trainer-a,6,memory_used,4217417728.0
2026-06-28T01:33:15.797322Z,trainer-a,0,duty_cycle,43.0
2026-06-28T01:33:15.797324Z,trainer-a,5,duty_cycle,31.0
2026-06-28T01:33:15.797324Z,trainer-a,7,duty_cycle,47.0
2026-06-28T01:33:15.797325Z,trainer-a,2,duty_cycle,39.0
2026-06-28T01:33:15.797326Z,trainer-a,6,duty_cycle,29.0
2026-06-28T01:33:15.797327Z,trainer-a,3,duty_cycle,32.0
2026-06-28T01:33:15.797329Z,trainer-a,1,duty_cycle,41.0
2026-06-28T01:33:15.797330Z,trainer-a,4,duty_cycle,36.0
2026-06-28T01:34:05.796636Z,trainer-a,6,memory_total,16909332480.0
2026-06-28T01:34:05.796639Z,trainer-a,4,memory_total,16909332480.0
2026-06-28T01:34:05.796643Z,trainer-a,3,memory_total,16909332480.0
2026-06-28T01:34:05.796645Z,trainer-a,2,memory_total,16909332480.0
2026-06-28T01:34:05.796647Z,trainer-a,5,memory_total,16909332480.0
2026-06-28T01:34:05.796648Z,trainer-a,1,memory_total,16909332480.0
2026-06-28T01:34:05.796649Z,trainer-a,7,memory_total,16909332480.0
2026-06-28T01:34:05.796650Z,trainer-a,0,memory_total,16909332480.0
2026-06-28T01:34:05.796650Z,trainer-a,7,memory_used,4441141248.0
2026-06-28T01:34:05.796652Z,trainer-a,5,memory_used,4441141248.0
2026-06-28T01:34:05.796653Z,trainer-a,0,memory_used,4448689664.0
2026-06-28T01:34:05.796654Z,trainer-a,2,memory_used,4441141248.0
2026-06-28T01:34:05.796655Z,trainer-a,1,memory_used,4441145344.0
2026-06-28T01:34:05.796656Z,trainer-a,4,memory_used,4441141248.0
2026-06-28T01:34:05.796657Z,trainer-a,6,memory_used,4441141248.0
2026-06-28T01:34:05.796658Z,trainer-a,3,memory_used,4441141248.0
2026-06-28T01:34:05.796661Z,trainer-a,1,duty_cycle,41.0
2026-06-28T01:34:05.796662Z,trainer-a,6,duty_cycle,32.0
2026-06-28T01:34:05.796663Z,trainer-a,2,duty_cycle,39.0
2026-06-28T01:34:05.796664Z,trainer-a,0,duty_cycle,43.0
2026-06-28T01:34:05.796665Z,trainer-a,4,duty_cycle,31.0
