time,container,chip,metric,value
2026-06-28T04:32:31.080867Z,sampler-a,4,memory_total,16909332480.0
2026-06-28T04:32:31.080871Z,sampler-a,2,memory_total,16909332480.0
2026-06-28T04:32:31.080873Z,sampler-a,1,memory_total,16909332480.0
2026-06-28T04:32:31.080875Z,sampler-a,6,memory_total,16909332480.0
2026-06-28T04:32:31.080876Z,sampler-a,3,memory_total,16909332480.0
2026-06-28T04:32:31.080877Z,sampler-a,7,memory_total,16909332480.0
2026-06-28T04:32:31.080878Z,sampler-a,5,memory_total,16909332480.0
2026-06-28T04:32:31.080879Z,sampler-a,0,memory_total,16909332480.0
2026-06-28T04:32:31.080881Z,sampler-a,0,memory_used,26624.0
2026-06-28T04:32:31.080882Z,sampler-a,4,memory_used,26624.0
2026-06-28T04:32:31.080883Z,sampler-a,5,memory_used,26624.0
2026-06-28T04:32:31.080884Z,sampler-a,2,memory_used,26624.0
2026-06-28T04:32:31.080885Z,sampler-a,7,memory_used,26624.0
2026-06-28T04:32:31.080886Z,sampler-a,1,memory_used,26624.0
2026-06-28T04:32:31.080887Z,sampler-a,3,memory_used,26624.0
2026-06-28T04:32:31.080888Z,sampler-a,6,memory_used,26624.0
2026-06-28T04:33:31.080202Z,sampler-a,4,memory_total,16909332480.0
2026-06-28T04:33:31.080207Z,sampler-a,3,memory_total,16909332480.0
2026-06-28T04:33:31.080208Z,sampler-a,5,memory_total,16909332480.0
2026-06-28T04:33:31.080209Z,sampler-a,1,memory_total,16909332480.0
2026-06-28T04:33:31.080209Z,sampler-a,7,memory_total,16909332480.0
2026-06-28T04:33:31.080210Z,sampler-a,0,memory_total,16909332480.0
2026-06-28T04:33:31.080211Z,sampler-a,6,memory_total,16909332480.0
2026-06-28T04:33:31.080212Z,sampler-a,2,memory_total,16909332480.0
2026-06-28T04:33:31.080214Z,sampler-a,5,memory_used,26624.0
2026-06-28T04:33:31.080215Z,sampler-a,1,memory_used,26624.0
2026-06-28T04:33:31.080216Z,sampler-a,4,memory_used,26624.0
2026-06-28T04:33:31.080217Z,sampler-a,3,memory_used,26624.0
2026-06-28T04:33:31.080218Z,sampler-a,2,memory_used,26624.0
2026-06-28T04:33:31.080219Z,sampler-a,0,memory_used,15784244736.0
2026-06-28T04:33:31.080221Z,sampler-a,7,memory_used,26624.0
2026-06-28T04:33:31.080222Z,sampler-a,6,memory_used,26624.0
2026-06-28T04:34:21.079026Z,sampler-a,7,memory_total,16909332480.0
2026-06-28T04:34:21.079029Z,sampler-a,4,memory_total,16909332480.0
2026-06-28T04:34:21.079030Z,sampler-a,2,memory_total,16909332480.0
2026-06-28T04:34:21.079031Z,sampler-a,1,memory_total,16909332480.0
2026-06-28T04:34:21.079034Z,sampler-a,6,memory_total,16909332480.0
2026-06-28T04:34:21.079035Z,sampler-a,3,memory_total,16909332480.0
2026-06-28T04:34:21.079036Z,sampler-a,0,memory_total,16909332480.0
2026-06-28T04:34:21.079038Z,sampler-a,5,memory_total,16909332480.0
2026-06-28T04:34:21.079039Z,sampler-a,7,memory_used,26624.0
2026-06-28T04:34:21.079040Z,sampler-a,5,memory_used,26624.0
2026-06-28T04:34:21.079041Z,sampler-a,4,memory_used,26624.0
2026-06-28T04:34:21.079042Z,sampler-a,6,memory_used,26624.0
2026-06-28T04:34:21.079043Z,sampler-a,3,memory_used,26624.0
2026-06-28T04:34:21.079044Z,sampler-a,2,memory_used,26624.0
2026-06-28T04:34:21.079045Z,sampler-a,0,memory_used,15784640000.0
2026-06-28T04:34:21.079045Z,sampler-a,1,memory_used,26624.0
2026-06-28T04:35:21.080580Z,sampler-a,7,memory_total,16909332480.0
2026-06-28T04:35:21.080584Z,sampler-a,5,memory_total,16909332480.0
2026-06-28T04:35:21.080585Z,sampler-a,0,memory_total,16909332480.0
2026-06-28T04:35:21.080589Z,sampler-a,1,memory_total,16909332480.0
2026-06-28T04:35:21.080589Z,sampler-a,2,memory_total,16909332480.0
2026-06-28T04:35:21.080590Z,sampler-a,4,memory_total,16909332480.0
2026-06-28T04:35:21.080591Z,sampler-a,3,memory_total,16909332480.0
2026-06-28T04:35:21.080592Z,sampler-a,6,memory_total,16909332480.0
2026-06-28T04:35:21.080593Z,sampler-a,1,memory_used,26624.0
2026-06-28T04:35:21.080594Z,sampler-a,5,memory_used,26624.0
2026-06-28T04:35:21.080595Z,sampler-a,4,memory_used,26624.0
2026-06-28T04:35:21.080595Z,sampler-a,6,memory_used,26624.0
2026-06-28T04:35:21.080596Z,sampler-a,3,memory_used,26624.0
2026-06-28T04:35:21.080597Z,sampler-a,0,memory_used,15853357056.0
2026-06-28T04:35:21.080598Z,sampler-a,2,memory_used,26624.0
2026-06-28T04:35:21.080598Z,sampler-a,7,memory_used,26624.0
2026-06-28T04:35:21.080602Z,sampler-a,0,duty_cycle,45.0
2026-06-28T04:36:21.079475Z,sampler-a,4,memory_total,16909332480.0
2026-06-28T04:36:21.079480Z,sampler-a,2,memory_total,16909332480.0
2026-06-28T04:36:21.079480Z,sampler-a,6,memory_total,16909332480.0
2026-06-28T04:36:21.079482Z,sampler-a,1,memory_total,16909332480.0
2026-06-28T04:36:21.079484Z,sampler-a,3,memory_total,16909332480.0
2026-06-28T04:36:21.079485Z,sampler-a,7,memory_total,16909332480.0
2026-06-28T04:36:21.079486Z,sampler-a,0,memory_total,16909332480.0
2026-06-28T04:36:21.079486Z,sampler-a,5,memory_total,16909332480.0
2026-06-28T04:36:21.079487Z,sampler-a,3,memory_used,26624.0
2026-06-28T04:36:21.079488Z,sampler-a,2,memory_used,26624.0
2026-06-28T04:36:21.079489Z,sampler-a,5,memory_used,26624.0
2026-06-28T04:36:21.079490Z,sampler-a,0,memory_used,15853400064.0
2026-06-28T04:36:21.079490Z,sampler-a,1,memory_used,26624.0
2026-06-28T04:36:21.079491Z,sampler-a,7,memory_used,26624.0
2026-06-28T04:36:21.079492Z,sampler-a,6,memory_used,26624.0
2026-06-28T04:36:21.079493Z,sampler-a,4,memory_used,26624.0
2026-06-28T04:36:21.079497Z,sampler-a,0,duty_cycle,43.0
2026-06-28T04:37:21.079915Z,sampler-a,4,memory_total,16909332480.0
2026-06-28T04:37:21.079919Z,sampler-a,2,memory_total,16909332480.0
2026-06-28T04:37:21.079920Z,sampler-a,5,memory_total,16909332480.0
2026-06-28T04:37:21.079920Z,sampler-a,6,memory_total,16909332480.0
2026-06-28T04:37:21.079921Z,sampler-a,0,memory_total,16909332480.0
2026-06-28T04:37:21.079922Z,sampler-a,7,memory_total,16909332480.0
2026-06-28T04:37:21.079923Z,sampler-a,3,memory_total,16909332480.0
2026-06-28T04:37:21.079924Z,sampler-a,1,memory_total,16909332480.0
2026-06-28T04:37:21.079925Z,sampler-a,0,memory_used,15853484032.0
2026-06-28T04:37:21.079926Z,sampler-a,6,memory_used,26624.0
2026-06-28T04:37:21.079927Z,sampler-a,3,memory_used,26624.0
2026-06-28T04:37:21.079928Z,sampler-a,2,memory_used,26624.0
2026-06-28T04:37:21.079929Z,sampler-a,1,memory_used,26624.0
2026-06-28T04:37:21.079929Z,sampler-a,5,memory_used,26624.0
2026-06-28T04:37:21.079930Z,sampler-a,7,memory_used,26624.0
2026-06-28T04:37:21.079931Z,sampler-a,4,memory_used,26624.0
2026-06-28T04:37:21.079944Z,sampler-a,0,duty_cycle,45.0
2026-06-28T04:38:11.079265Z,sampler-a,6,memory_total,16909332480.0
2026-06-28T04:38:11.079267Z,sampler-a,1,memory_total,16909332480.0
2026-06-28T04:38:11.079268Z,sampler-a,4,memory_total,16909332480.0
2026-06-28T04:38:11.079269Z,sampler-a,2,memory_total,16909332480.0
2026-06-28T04:38:11.079270Z,sampler-a,7,memory_total,16909332480.0
2026-06-28T04:38:11.079271Z,sampler-a,3,memory_total,16909332480.0
2026-06-28T04:38:11.079271Z,sampler-a,5,memory_total,16909332480.0
2026-06-28T04:38:11.079272Z,sampler-a,0,memory_total,16909332480.0
2026-06-28T04:38:11.079273Z,sampler-a,7,memory_used,26624.0
2026-06-28T04:38:11.079275Z,sampler-a,2,memory_used,26624.0
2026-06-28T04:38:11.079277Z,sampler-a,3,memory_used,26624.0
2026-06-28T04:38:11.079278Z,sampler-a,5,memory_used,26624.0
2026-06-28T04:38:11.079279Z,sampler-a,4,memory_used,26624.0
2026-06-28T04:38:11.079280Z,sampler-a,6,memory_used,26624.0
2026-06-28T04:38:11.079281Z,sampler-a,0,memory_used,15853482496.0
2026-06-28T04:38:11.079281Z,sampler-a,1,memory_used,26624.0
2026-06-28T04:38:11.079286Z,sampler-a,0,duty_cycle,46.0
2026-06-28T04:39:01.081218Z,sampler-a,6,memory_total,16909332480.0
2026-06-28T04:39:01.081221Z,sampler-a,1,memory_total,16909332480.0
2026-06-28T04:39:01.081224Z,sampler-a,4,memory_total,16909332480.0
2026-06-28T04:39:01.081227Z,sampler-a,2,memory_total,16909332480.0
2026-06-28T04:39:01.081227Z,sampler-a,7,memory_total,16909332480.0
2026-06-28T04:39:01.081228Z,sampler-a,0,memory_total,16909332480.0
2026-06-28T04:39:01.081229Z,sampler-a,5,memory_total,16909332480.0
2026-06-28T04:39:01.081233Z,sampler-a,3,memory_total,16909332480.0
2026-06-28T04:39:01.081234Z,sampler-a,4,memory_used,26624.0
2026-06-28T04:39:01.081235Z,sampler-a,1,memory_used,26624.0
2026-06-28T04:39:01.081236Z,sampler-a,7,memory_used,26624.0
2026-06-28T04:39:01.081237Z,sampler-a,5,memory_used,26624.0
2026-06-28T04:39:01.081237Z,sampler-a,6,memory_used,26624.0
2026-06-28T04:39:01.081239Z,sampler-a,0,memory_used,15869703680.0
2026-06-28T04:39:01.081239Z,sampler-a,3,memory_used,26624.0
2026-06-28T04:39:01.081240Z,sampler-a,2,memory_used,26624.0
2026-06-28T04:39:01.081246Z,sampler-a,0,duty_cycle,47.0
2026-06-28T04:40:01.079557Z,sampler-a,0,memory_total,16909332480.0
2026-06-28T04:40:01.079559Z,sampler-a,2,memory_total,16909332480.0
2026-06-28T04:40:01.079561Z,sampler-a,1,memory_total,16909332480.0
2026-06-28T04:40:01.079562Z,sampler-a,4,memory_total,16909332480.0
2026-06-28T04:40:01.079571Z,sampler-a,6,memory_total,16909332480.0
2026-06-28T04:40:01.079572Z,sampler-a,3,memory_total,16909332480.0
2026-06-28T04:40:01.079573Z,sampler-a,7,memory_total,16909332480.0
2026-06-28T04:40:01.079574Z,sampler-a,5,memory_total,16909332480.0
2026-06-28T04:40:01.079575Z,sampler-a,3,memory_used,26624.0
2026-06-28T04:40:01.079576Z,sampler-a,6,memory_used,26624.0
2026-06-28T04:40:01.079579Z,sampler-a,4,memory_used,26624.0
2026-06-28T04:40:01.079580Z,sampler-a,5,memory_used,26624.0
2026-06-28T04:40:01.079581Z,sampler-a,1,memory_used,26624.0
2026-06-28T04:40:01.079582Z,sampler-a,0,memory_used,15853521920.0
2026-06-28T04:40:01.079584Z,sampler-a,2,memory_used,26624.0
2026-06-28T04:40:01.079584Z,sampler-a,7,memory_used,26624.0
2026-06-28T04:40:01.079588Z,sampler-a,0,duty_cycle,45.0
2026-06-28T04:40:51.080252Z,sampler-a,6,memory_total,16909332480.0
2026-06-28T04:40:51.080257Z,sampler-a,7,memory_total,16909332480.0
2026-06-28T04:40:51.080258Z,sampler-a,1,memory_total,16909332480.0
2026-06-28T04:40:51.080259Z,sampler-a,0,memory_total,16909332480.0
2026-06-28T04:40:51.080260Z,sampler-a,3,memory_total,16909332480.0
2026-06-28T04:40:51.080260Z,sampler-a,4,memory_total,16909332480.0
2026-06-28T04:40:51.080261Z,sampler-a,2,memory_total,16909332480.0
2026-06-28T04:40:51.080262Z,sampler-a,5,memory_total,16909332480.0
2026-06-28T04:40:51.080263Z,sampler-a,7,memory_used,26624.0
2026-06-28T04:40:51.080264Z,sampler-a,1,memory_used,26624.0
2026-06-28T04:40:51.080265Z,sampler-a,6,memory_used,26624.0
2026-06-28T04:40:51.080266Z,sampler-a,0,memory_used,15853521920.0
2026-06-28T04:40:51.080266Z,sampler-a,4,memory_used,26624.0
2026-06-28T04:40:51.080267Z,sampler-a,3,memory_used,26624.0
2026-06-28T04:40:51.080268Z,sampler-a,5,memory_used,26624.0
2026-06-28T04:40:51.080269Z,sampler-a,2,memory_used,26624.0
2026-06-28T04:40:51.080278Z,sampler-a,0,duty_cycle,44.0
2026-06-28T04:41:41.079537Z,sampler-a,4,memory_total,16909332480.0
2026-06-28T04:41:41.079538Z,sampler-a,5,memory_total,16909332480.0
2026-06-28T04:41:41.079539Z,sampler-a,7,memory_total,16909332480.0
2026-06-28T04:41:41.079540Z,sampler-a,3,memory_total,16909332480.0
2026-06-28T04:41:41.079541Z,sampler-a,1,memory_total,16909332480.0
2026-06-28T04:41:41.079542Z,sampler-a,0,memory_total,16909332480.0
2026-06-28T04:41:41.079543Z,sampler-a,2,memory_total,16909332480.0
2026-06-28T04:41:41.079544Z,sampler-a,6,memory_total,16909332480.0
2026-06-28T04:41:41.079548Z,sampler-a,0,memory_used,15853495296.0
2026-06-28T04:41:41.079558Z,sampler-a,0,duty_cycle,21.0
2026-06-28T04:41:55.797906Z,trainer-a,4,memory_total,16909332480.0
2026-06-28T04:41:55.797913Z,trainer-a,6,memory_total,16909332480.0
2026-06-28T04:41:55.797914Z,trainer-a,2,memory_total,16909332480.0
2026-06-28T04:41:55.797917Z,trainer-a,0,memory_total,16909332480.0
2026-06-28T04:41:55.797920Z,trainer-a,7,memory_total,16909332480.0
2026-06-28T04:41:55.797922Z,trainer-a,1,memory_total,16909332480.0
2026-06-28T04:41:55.797923Z,trainer-a,3,memory_total,16909332480.0
2026-06-28T04:41:55.797924Z,trainer-a,5,memory_total,16909332480.0
2026-06-28T04:41:55.797925Z,trainer-a,6,memory_used,1992274944.0
2026-06-28T04:41:55.797926Z,trainer-a,3,memory_used,1992274944.0
2026-06-28T04:41:55.797928Z,trainer-a,1,memory_used,1992274944.0
2026-06-28T04:41:55.797928Z,trainer-a,4,memory_used,1992274944.0
2026-06-28T04:41:55.797929Z,trainer-a,2,memory_used,1992274944.0
2026-06-28T04:41:55.797931Z,trainer-a,5,memory_used,1992274944.0
2026-06-28T04:41:55.797932Z,trainer-a,0,memory_used,1999901184.0
2026-06-28T04:41:55.797932Z,trainer-a,7,memory_used,1992274944.0
2026-06-28T04:42:41.080251Z,sampler-a,2,memory_total,16909332480.0
2026-06-28T04:42:41.080256Z,sampler-a,4,memory_total,16909332480.0
2026-06-28T04:42:41.080257Z,sampler-a,6,memory_total,16909332480.0
2026-06-28T04:42:41.080258Z,sampler-a,1,memory_total,16909332480.0
2026-06-28T04:42:41.080259Z,sampler-a,0,memory_total,16909332480.0
2026-06-28T04:42:41.080260Z,sampler-a,3,memory_total,16909332480.0
2026-06-28T04:42:41.080260Z,sampler-a,5,memory_total,16909332480.0
2026-06-28T04:42:41.080261Z,sampler-a,7,memory_total,16909332480.0
2026-06-28T04:42:41.080267Z,sampler-a,0,memory_used,15853495296.0
2026-06-28T04:42:41.080293Z,sampler-a,0,duty_cycle,21.0
2026-06-28T04:42:55.797864Z,trainer-a,4,memory_total,16909332480.0
2026-06-28T04:42:55.797866Z,trainer-a,1,memory_total,16909332480.0
2026-06-28T04:42:55.797868Z,trainer-a,6,memory_total,16909332480.0
2026-06-28T04:42:55.797869Z,trainer-a,7,memory_total,16909332480.0
2026-06-28T04:42:55.797870Z,trainer-a,0,memory_total,16909332480.0
2026-06-28T04:42:55.797871Z,trainer-a,5,memory_total,16909332480.0
2026-06-28T04:42:55.797872Z,trainer-a,2,memory_total,16909332480.0
2026-06-28T04:42:55.797874Z,trainer-a,3,memory_total,16909332480.0
2026-06-28T04:42:55.797875Z,trainer-a,0,memory_used,4262776832.0
2026-06-28T04:42:55.797876Z,trainer-a,4,memory_used,4255232512.0
2026-06-28T04:42:55.797878Z,trainer-a,1,memory_used,4255233024.0
2026-06-28T04:42:55.797879Z,trainer-a,2,memory_used,4255232512.0
2026-06-28T04:42:55.797881Z,trainer-a,7,memory_used,4255232512.0
2026-06-28T04:42:55.797882Z,trainer-a,5,memory_used,4255232512.0
2026-06-28T04:42:55.797883Z,trainer-a,3,memory_used,4255232512.0
2026-06-28T04:42:55.797885Z,trainer-a,6,memory_used,4255232512.0
2026-06-28T04:42:55.797890Z,trainer-a,1,duty_cycle,41.0
2026-06-28T04:42:55.797899Z,trainer-a,6,duty_cycle,31.0
