time,container,chip,metric,value
2026-06-28T04:41:55.797906Z,trainer-a,4,memory_total,16909332480.0
2026-06-28T04:41:55.797913Z,trainer-a,6,memory_total,16909332480.0
2026-06-28T04:41:55.797914Z,trainer-a,2,memory_total,16909332480.0
2026-06-28T04:41:55.797917Z,trainer-a,0,memory_total,16909332480.0
2026-06-28T04:41:55.797920Z,trainer-a,7,memory_total,16909332480.0
2026-06-28T04:41:55.797922Z,trainer-a,1,memory_total,16909332480.0
2026-06-28T04:41:55.797923Z,trainer-a,3,memory_total,16909332480.0
2026-06-28T04:41:55.797924Z,trainer-a,5,memory_total,16909332480.0
2026-06-28T04:41:55.797925Z,trainer-a,6,memory_used,1992274944.0
2026-06-28T04:41:55.797926Z,trainer-a,3,memory_used,1992274944.0
2026-06-28T04:41:55.797928Z,trainer-a,1,memory_used,1992274944.0
2026-06-28T04:41:55.797928Z,trainer-a,4,memory_used,1992274944.0
2026-06-28T04:41:55.797929Z,trainer-a,2,memory_used,1992274944.0
2026-06-28T04:41:55.797931Z,trainer-a,5,memory_used,1992274944.0
2026-06-28T04:41:55.797932Z,trainer-a,0,memory_used,1999901184.0
2026-06-28T04:41:55.797932Z,trainer-a,7,memory_used,1992274944.0
2026-06-28T04:41:55.797936Z,trainer-a,4,duty_cycle,0.0
2026-06-28T04:41:55.797937Z,trainer-a,6,duty_cycle,0.0
2026-06-28T04:41:55.797938Z,trainer-a,1,duty_cycle,0.0
2026-06-28T04:41:55.797939Z,trainer-a,2,duty_cycle,0.0
2026-06-28T04:41:55.797939Z,trainer-a,3,duty_cycle,0.0
2026-06-28T04:41:55.797941Z,trainer-a,5,duty_cycle,0.0
2026-06-28T04:41:55.797942Z,trainer-a,0,duty_cycle,0.0
2026-06-28T04:41:55.797947Z,trainer-a,7,duty_cycle,0.0
2026-06-28T04:42:55.797864Z,trainer-a,4,memory_total,16909332480.0
2026-06-28T04:42:55.797866Z,trainer-a,1,memory_total,16909332480.0
2026-06-28T04:42:55.797868Z,trainer-a,6,memory_total,16909332480.0
2026-06-28T04:42:55.797869Z,trainer-a,7,memory_total,16909332480.0
2026-06-28T04:42:55.797870Z,trainer-a,0,memory_total,16909332480.0
2026-06-28T04:42:55.797871Z,trainer-a,5,memory_total,16909332480.0
2026-06-28T04:42:55.797872Z,trainer-a,2,memory_total,16909332480.0
2026-06-28T04:42:55.797874Z,trainer-a,3,memory_total,16909332480.0
2026-06-28T04:42:55.797875Z,trainer-a,0,memory_used,4262776832.0
2026-06-28T04:42:55.797876Z,trainer-a,4,memory_used,4255232512.0
2026-06-28T04:42:55.797878Z,trainer-a,1,memory_used,4255233024.0
2026-06-28T04:42:55.797879Z,trainer-a,2,memory_used,4255232512.0
2026-06-28T04:42:55.797881Z,trainer-a,7,memory_used,4255232512.0
2026-06-28T04:42:55.797882Z,trainer-a,5,memory_used,4255232512.0
2026-06-28T04:42:55.797883Z,trainer-a,3,memory_used,4255232512.0
2026-06-28T04:42:55.797885Z,trainer-a,6,memory_used,4255232512.0
2026-06-28T04:42:55.797890Z,trainer-a,1,duty_cycle,41.0
2026-06-28T04:42:55.797899Z,trainer-a,6,duty_cycle,31.0
2026-06-28T04:42:55.797900Z,trainer-a,5,duty_cycle,32.0
2026-06-28T04:42:55.797901Z,trainer-a,3,duty_cycle,35.0
2026-06-28T04:42:55.797903Z,trainer-a,7,duty_cycle,46.0
2026-06-28T04:42:55.797904Z,trainer-a,2,duty_cycle,37.0
2026-06-28T04:42:55.797905Z,trainer-a,0,duty_cycle,44.0
2026-06-28T04:42:55.797906Z,trainer-a,4,duty_cycle,31.0
2026-06-28T04:43:55.796038Z,trainer-a,4,memory_total,16909332480.0
2026-06-28T04:43:55.796040Z,trainer-a,5,memory_total,16909332480.0
2026-06-28T04:43:55.796040Z,trainer-a,6,memory_total,16909332480.0
2026-06-28T04:43:55.796042Z,trainer-a,3,memory_total,16909332480.0
2026-06-28T04:43:55.796044Z,trainer-a,0,memory_total,16909332480.0
2026-06-28T04:43:55.796045Z,trainer-a,2,memory_total,16909332480.0
2026-06-28T04:43:55.796046Z,trainer-a,1,memory_total,16909332480.0
2026-06-28T04:43:55.796046Z,trainer-a,7,memory_total,16909332480.0
2026-06-28T04:43:55.796047Z,trainer-a,5,memory_used,4217426944.0
2026-06-28T04:43:55.796048Z,trainer-a,3,memory_used,4217426944.0
2026-06-28T04:43:55.796049Z,trainer-a,1,memory_used,4217426944.0
2026-06-28T04:43:55.796050Z,trainer-a,2,memory_used,4217426944.0
2026-06-28T04:43:55.796051Z,trainer-a,0,memory_used,4224962048.0
2026-06-28T04:43:55.796052Z,trainer-a,7,memory_used,4217426944.0
2026-06-28T04:43:55.796053Z,trainer-a,6,memory_used,4217426944.0
2026-06-28T04:43:55.796054Z,trainer-a,4,memory_used,4217426944.0
2026-06-28T04:43:55.796058Z,trainer-a,1,duty_cycle,41.0
2026-06-28T04:43:55.796059Z,trainer-a,0,duty_cycle,44.0
2026-06-28T04:43:55.796060Z,trainer-a,4,duty_cycle,31.0
2026-06-28T04:43:55.796060Z,trainer-a,6,duty_cycle,31.0
2026-06-28T04:43:55.796061Z,trainer-a,3,duty_cycle,37.0
2026-06-28T04:43:55.796062Z,trainer-a,5,duty_cycle,33.0
2026-06-28T04:43:55.796063Z,trainer-a,2,duty_cycle,39.0
2026-06-28T04:43:55.796063Z,trainer-a,7,duty_cycle,43.0
2026-06-28T04:44:45.796903Z,trainer-a,7,memory_total,16909332480.0
2026-06-28T04:44:45.796906Z,trainer-a,1,memory_total,16909332480.0
2026-06-28T04:44:45.796907Z,trainer-a,4,memory_total,16909332480.0
2026-06-28T04:44:45.796909Z,trainer-a,5,memory_total,16909332480.0
2026-06-28T04:44:45.796910Z,trainer-a,6,memory_total,16909332480.0
2026-06-28T04:44:45.796912Z,trainer-a,2,memory_total,16909332480.0
2026-06-28T04:44:45.796913Z,trainer-a,3,memory_total,16909332480.0
2026-06-28T04:44:45.796914Z,trainer-a,0,memory_total,16909332480.0
2026-06-28T04:44:45.796914Z,trainer-a,0,memory_used,4536942592.0
2026-06-28T04:44:45.796915Z,trainer-a,5,memory_used,4529398272.0
2026-06-28T04:44:45.796916Z,trainer-a,6,memory_used,4529398272.0
2026-06-28T04:44:45.796917Z,trainer-a,1,memory_used,4529398784.0
2026-06-28T04:44:45.796918Z,trainer-a,2,memory_used,4529398272.0
2026-06-28T04:44:45.796918Z,trainer-a,4,memory_used,4529398272.0
2026-06-28T04:44:45.796920Z,trainer-a,7,memory_used,4529398272.0
2026-06-28T04:44:45.796921Z,trainer-a,3,memory_used,4529398272.0
2026-06-28T04:44:45.796924Z,trainer-a,4,duty_cycle,35.0
2026-06-28T04:44:45.796925Z,trainer-a,6,duty_cycle,31.0
2026-06-28T04:44:45.796926Z,trainer-a,5,duty_cycle,37.0
2026-06-28T04:44:45.796927Z,trainer-a,3,duty_cycle,35.0
2026-06-28T04:44:45.796928Z,trainer-a,0,duty_cycle,45.0
2026-06-28T04:44:45.796928Z,trainer-a,1,duty_cycle,42.0
2026-06-28T04:44:45.796929Z,trainer-a,7,duty_cycle,36.0
2026-06-28T04:44:45.796930Z,trainer-a,2,duty_cycle,40.0
2026-06-28T04:45:35.797270Z,trainer-a,4,memory_total,16909332480.0
2026-06-28T04:45:35.797274Z,trainer-a,6,memory_total,16909332480.0
2026-06-28T04:45:35.797275Z,trainer-a,7,memory_total,16909332480.0
