ts,wall,phase,chip,duty_cycle_pct,mem_used_mib,mem_total_mib,mem_pct
1782621701.221,04:41:41,timeslice,0,0.0,0,16126,0.0
1782621701.221,04:41:41,timeslice,1,0.0,0,16126,0.0
1782621701.221,04:41:41,timeslice,2,0.0,0,16126,0.0
1782621701.221,04:41:41,timeslice,3,0.0,0,16126,0.0
1782621701.221,04:41:41,timeslice,4,0.0,0,16126,0.0
1782621701.221,04:41:41,timeslice,5,0.0,0,16126,0.0
1782621701.221,04:41:41,timeslice,6,0.0,0,16126,0.0
1782621701.221,04:41:41,timeslice,7,0.0,0,16126,0.0
1782621702.226,04:41:42,timeslice,0,0.0,0,16126,0.0
1782621702.226,04:41:42,timeslice,1,0.0,0,16126,0.0
1782621702.226,04:41:42,timeslice,2,0.0,0,16126,0.0
1782621702.226,04:41:42,timeslice,3,0.0,0,16126,0.0
1782621702.226,04:41:42,timeslice,4,0.0,0,16126,0.0
1782621702.226,04:41:42,timeslice,5,0.0,0,16126,0.0
1782621702.226,04:41:42,timeslice,6,0.0,0,16126,0.0
1782621702.226,04:41:42,timeslice,7,0.0,0,16126,0.0
1782621703.231,04:41:43,timeslice,0,0.0,0,16126,0.0
1782621703.231,04:41:43,timeslice,1,0.0,0,16126,0.0
1782621703.231,04:41:43,timeslice,2,0.0,0,16126,0.0
1782621703.231,04:41:43,timeslice,3,0.0,0,16126,0.0
1782621703.231,04:41:43,timeslice,4,0.0,0,16126,0.0
1782621703.231,04:41:43,timeslice,5,0.0,0,16126,0.0
1782621703.231,04:41:43,timeslice,6,0.0,0,16126,0.0
1782621703.231,04:41:43,timeslice,7,0.0,0,16126,0.0
1782621704.236,04:41:44,timeslice,0,0.0,0,16126,0.0
1782621704.236,04:41:44,timeslice,1,0.0,0,16126,0.0
1782621704.236,04:41:44,timeslice,2,0.0,0,16126,0.0
1782621704.236,04:41:44,timeslice,3,0.0,0,16126,0.0
1782621704.236,04:41:44,timeslice,4,0.0,0,16126,0.0
1782621704.236,04:41:44,timeslice,5,0.0,0,16126,0.0
1782621704.236,04:41:44,timeslice,6,0.0,0,16126,0.0
1782621704.236,04:41:44,timeslice,7,0.0,0,16126,0.0
1782621705.241,04:41:45,timeslice,0,0.0,0,16126,0.0
1782621705.241,04:41:45,timeslice,1,0.0,0,16126,0.0
1782621705.241,04:41:45,timeslice,2,0.0,0,16126,0.0
1782621705.241,04:41:45,timeslice,3,0.0,0,16126,0.0
1782621705.241,04:41:45,timeslice,4,0.0,0,16126,0.0
1782621705.241,04:41:45,timeslice,5,0.0,0,16126,0.0
1782621705.241,04:41:45,timeslice,6,0.0,0,16126,0.0
1782621705.241,04:41:45,timeslice,7,0.0,0,16126,0.0
1782621706.247,04:41:46,timeslice,0,0.5,162,16126,1.0
1782621706.247,04:41:46,timeslice,1,0.0,0,16126,0.0
1782621706.247,04:41:46,timeslice,2,0.0,0,16126,0.0
1782621706.247,04:41:46,timeslice,3,0.0,0,16126,0.0
1782621706.247,04:41:46,timeslice,4,0.0,0,16126,0.0
1782621706.247,04:41:46,timeslice,5,0.0,0,16126,0.0
1782621706.247,04:41:46,timeslice,6,0.0,0,16126,0.0
1782621706.247,04:41:46,timeslice,7,0.0,0,16126,0.0
1782621707.251,04:41:47,timeslice,0,0.5,162,16126,1.0
1782621707.251,04:41:47,timeslice,1,0.0,0,16126,0.0
1782621707.251,04:41:47,timeslice,2,0.0,0,16126,0.0
1782621707.251,04:41:47,timeslice,3,0.0,0,16126,0.0
1782621707.251,04:41:47,timeslice,4,0.0,0,16126,0.0
1782621707.251,04:41:47,timeslice,5,0.0,0,16126,0.0
1782621707.251,04:41:47,timeslice,6,0.0,0,16126,0.0
1782621707.251,04:41:47,timeslice,7,0.0,0,16126,0.0
1782621708.256,04:41:48,timeslice,0,0.5,162,16126,1.0
1782621708.256,04:41:48,timeslice,1,0.0,0,16126,0.0
1782621708.256,04:41:48,timeslice,2,0.0,0,16126,0.0
1782621708.256,04:41:48,timeslice,3,0.0,0,16126,0.0
1782621708.256,04:41:48,timeslice,4,0.0,0,16126,0.0
1782621708.256,04:41:48,timeslice,5,0.0,0,16126,0.0
1782621708.256,04:41:48,timeslice,6,0.0,0,16126,0.0
1782621708.256,04:41:48,timeslice,7,0.0,0,16126,0.0
1782621709.261,04:41:49,timeslice,0,0.5,162,16126,1.0
1782621709.261,04:41:49,timeslice,1,0.0,0,16126,0.0
1782621709.261,04:41:49,timeslice,2,0.0,0,16126,0.0
1782621709.261,04:41:49,timeslice,3,0.0,0,16126,0.0
1782621709.261,04:41:49,timeslice,4,0.0,0,16126,0.0
1782621709.261,04:41:49,timeslice,5,0.0,0,16126,0.0
1782621709.261,04:41:49,timeslice,6,0.0,0,16126,0.0
1782621709.261,04:41:49,timeslice,7,0.0,0,16126,0.0
1782621710.266,04:41:50,timeslice,0,0.5,162,16126,1.0
1782621710.266,04:41:50,timeslice,1,0.0,0,16126,0.0
1782621710.266,04:41:50,timeslice,2,0.0,0,16126,0.0
1782621710.266,04:41:50,timeslice,3,0.0,0,16126,0.0
1782621710.266,04:41:50,timeslice,4,0.0,0,16126,0.0
1782621710.266,04:41:50,timeslice,5,0.0,0,16126,0.0
1782621710.266,04:41:50,timeslice,6,0.0,0,16126,0.0
1782621710.266,04:41:50,timeslice,7,0.0,0,16126,0.0
1782621711.271,04:41:51,timeslice,0,4.7,1907,16126,11.8
1782621711.271,04:41:51,timeslice,1,0.7,1900,16126,11.8
1782621711.271,04:41:51,timeslice,2,0.7,1900,16126,11.8
1782621711.271,04:41:51,timeslice,3,0.6,1900,16126,11.8
1782621711.271,04:41:51,timeslice,4,0.6,1900,16126,11.8
1782621711.271,04:41:51,timeslice,5,0.5,1900,16126,11.8
1782621711.271,04:41:51,timeslice,6,0.8,1900,16126,11.8
1782621711.271,04:41:51,timeslice,7,0.5,1900,16126,11.8
1782621712.276,04:41:52,timeslice,0,4.7,1907,16126,11.8
1782621712.276,04:41:52,timeslice,1,0.7,1900,16126,11.8
1782621712.276,04:41:52,timeslice,2,0.7,1900,16126,11.8
1782621712.276,04:41:52,timeslice,3,0.6,1900,16126,11.8
1782621712.276,04:41:52,timeslice,4,0.6,1900,16126,11.8
1782621712.276,04:41:52,timeslice,5,0.5,1900,16126,11.8
1782621712.276,04:41:52,timeslice,6,0.8,1900,16126,11.8
1782621712.276,04:41:52,timeslice,7,0.5,1900,16126,11.8
1782621713.281,04:41:53,timeslice,0,4.7,1907,16126,11.8
1782621713.281,04:41:53,timeslice,1,0.7,1900,16126,11.8
1782621713.281,04:41:53,timeslice,2,0.7,1900,16126,11.8
1782621713.281,04:41:53,timeslice,3,0.6,1900,16126,11.8
1782621713.281,04:41:53,timeslice,4,0.6,1900,16126,11.8
1782621713.281,04:41:53,timeslice,5,0.5,1900,16126,11.8
1782621713.281,04:41:53,timeslice,6,0.8,1900,16126,11.8
1782621713.281,04:41:53,timeslice,7,0.5,1900,16126,11.8
1782621714.286,04:41:54,timeslice,0,4.7,1907,16126,11.8
1782621714.286,04:41:54,timeslice,1,0.7,1900,16126,11.8
1782621714.286,04:41:54,timeslice,2,0.7,1900,16126,11.8
1782621714.286,04:41:54,timeslice,3,0.6,1900,16126,11.8
1782621714.286,04:41:54,timeslice,4,0.6,1900,16126,11.8
1782621714.286,04:41:54,timeslice,5,0.5,1900,16126,11.8
1782621714.286,04:41:54,timeslice,6,0.8,1900,16126,11.8
1782621714.286,04:41:54,timeslice,7,0.5,1900,16126,11.8
1782621715.292,04:41:55,timeslice,0,4.7,1907,16126,11.8
1782621715.292,04:41:55,timeslice,1,0.7,1900,16126,11.8
1782621715.292,04:41:55,timeslice,2,0.7,1900,16126,11.8
1782621715.292,04:41:55,timeslice,3,0.6,1900,16126,11.8
1782621715.292,04:41:55,timeslice,4,0.6,1900,16126,11.8
1782621715.292,04:41:55,timeslice,5,0.5,1900,16126,11.8
1782621715.292,04:41:55,timeslice,6,0.8,1900,16126,11.8
1782621715.292,04:41:55,timeslice,7,0.5,1900,16126,11.8
1782621716.297,04:41:56,timeslice,0,0.0,1907,16126,11.8
1782621716.297,04:41:56,timeslice,1,0.0,1900,16126,11.8
1782621716.297,04:41:56,timeslice,2,0.0,1900,16126,11.8
1782621716.297,04:41:56,timeslice,3,0.0,1900,16126,11.8
1782621716.297,04:41:56,timeslice,4,0.0,1900,16126,11.8
1782621716.297,04:41:56,timeslice,5,0.0,1900,16126,11.8
1782621716.297,04:41:56,timeslice,6,0.0,1900,16126,11.8
1782621716.297,04:41:56,timeslice,7,0.0,1900,16126,11.8
1782621717.302,04:41:57,timeslice,0,0.0,1907,16126,11.8
1782621717.302,04:41:57,timeslice,1,0.0,1900,16126,11.8
1782621717.302,04:41:57,timeslice,2,0.0,1900,16126,11.8
1782621717.302,04:41:57,timeslice,3,0.0,1900,16126,11.8
1782621717.302,04:41:57,timeslice,4,0.0,1900,16126,11.8
1782621717.302,04:41:57,timeslice,5,0.0,1900,16126,11.8
1782621717.302,04:41:57,timeslice,6,0.0,1900,16126,11.8
