time,container,chip,metric,value
2026-06-28T04:32:31.080867Z,sampler-a,4,memory_total,16909332480.0
2026-06-28T04:32:31.080871Z,sampler-a,2,memory_total,16909332480.0
2026-06-28T04:32:31.080873Z,sampler-a,1,memory_total,16909332480.0
2026-06-28T04:32:31.080875Z,sampler-a,6,memory_total,16909332480.0
2026-06-28T04:32:31.080876Z,sampler-a,3,memory_total,16909332480.0
2026-06-28T04:32:31.080877Z,sampler-a,7,memory_total,16909332480.0
2026-06-28T04:32:31.080878Z,sampler-a,5,memory_total,16909332480.0
2026-06-28T04:32:31.080879Z,sampler-a,0,memory_total,16909332480.0
2026-06-28T04:32:31.080881Z,sampler-a,0,memory_used,26624.0
2026-06-28T04:32:31.080882Z,sampler-a,4,memory_used,26624.0
2026-06-28T04:32:31.080883Z,sampler-a,5,memory_used,26624.0
2026-06-28T04:32:31.080884Z,sampler-a,2,memory_used,26624.0
2026-06-28T04:32:31.080885Z,sampler-a,7,memory_used,26624.0
2026-06-28T04:32:31.080886Z,sampler-a,1,memory_used,26624.0
2026-06-28T04:32:31.080887Z,sampler-a,3,memory_used,26624.0
2026-06-28T04:32:31.080888Z,sampler-a,6,memory_used,26624.0
2026-06-28T04:32:31.080891Z,sampler-a,7,duty_cycle,0.0
2026-06-28T04:32:31.080893Z,sampler-a,0,duty_cycle,0.0
2026-06-28T04:32:31.080894Z,sampler-a,6,duty_cycle,0.0
2026-06-28T04:32:31.080895Z,sampler-a,1,duty_cycle,0.0
2026-06-28T04:32:31.080896Z,sampler-a,4,duty_cycle,0.0
2026-06-28T04:32:31.080897Z,sampler-a,2,duty_cycle,0.0
2026-06-28T04:32:31.080897Z,sampler-a,5,duty_cycle,0.0
2026-06-28T04:32:31.080899Z,sampler-a,3,duty_cycle,0.0
2026-06-28T04:33:31.080202Z,sampler-a,4,memory_total,16909332480.0
2026-06-28T04:33:31.080207Z,sampler-a,3,memory_total,16909332480.0
2026-06-28T04:33:31.080208Z,sampler-a,5,memory_total,16909332480.0
2026-06-28T04:33:31.080209Z,sampler-a,1,memory_total,16909332480.0
2026-06-28T04:33:31.080209Z,sampler-a,7,memory_total,16909332480.0
2026-06-28T04:33:31.080210Z,sampler-a,0,memory_total,16909332480.0
2026-06-28T04:33:31.080211Z,sampler-a,6,memory_total,16909332480.0
2026-06-28T04:33:31.080212Z,sampler-a,2,memory_total,16909332480.0
2026-06-28T04:33:31.080214Z,sampler-a,5,memory_used,26624.0
2026-06-28T04:33:31.080215Z,sampler-a,1,memory_used,26624.0
2026-06-28T04:33:31.080216Z,sampler-a,4,memory_used,26624.0
2026-06-28T04:33:31.080217Z,sampler-a,3,memory_used,26624.0
2026-06-28T04:33:31.080218Z,sampler-a,2,memory_used,26624.0
2026-06-28T04:33:31.080219Z,sampler-a,0,memory_used,15784244736.0
2026-06-28T04:33:31.080221Z,sampler-a,7,memory_used,26624.0
2026-06-28T04:33:31.080222Z,sampler-a,6,memory_used,26624.0
2026-06-28T04:33:31.080226Z,sampler-a,2,duty_cycle,0.0
2026-06-28T04:33:31.080227Z,sampler-a,6,duty_cycle,0.0
2026-06-28T04:33:31.080228Z,sampler-a,3,duty_cycle,0.0
2026-06-28T04:33:31.080229Z,sampler-a,0,duty_cycle,0.0
2026-06-28T04:33:31.080231Z,sampler-a,4,duty_cycle,0.0
2026-06-28T04:33:31.080233Z,sampler-a,7,duty_cycle,0.0
2026-06-28T04:33:31.080234Z,sampler-a,5,duty_cycle,0.0
2026-06-28T04:33:31.080241Z,sampler-a,1,duty_cycle,0.0
2026-06-28T04:34:21.079026Z,sampler-a,7,memory_total,16909332480.0
2026-06-28T04:34:21.079029Z,sampler-a,4,memory_total,16909332480.0
2026-06-28T04:34:21.079030Z,sampler-a,2,memory_total,16909332480.0
2026-06-28T04:34:21.079031Z,sampler-a,1,memory_total,16909332480.0
2026-06-28T04:34:21.079034Z,sampler-a,6,memory_total,16909332480.0
2026-06-28T04:34:21.079035Z,sampler-a,3,memory_total,16909332480.0
2026-06-28T04:34:21.079036Z,sampler-a,0,memory_total,16909332480.0
2026-06-28T04:34:21.079038Z,sampler-a,5,memory_total,16909332480.0
2026-06-28T04:34:21.079039Z,sampler-a,7,memory_used,26624.0
2026-06-28T04:34:21.079040Z,sampler-a,5,memory_used,26624.0
2026-06-28T04:34:21.079041Z,sampler-a,4,memory_used,26624.0
2026-06-28T04:34:21.079042Z,sampler-a,6,memory_used,26624.0
2026-06-28T04:34:21.079043Z,sampler-a,3,memory_used,26624.0
2026-06-28T04:34:21.079044Z,sampler-a,2,memory_used,26624.0
2026-06-28T04:34:21.079045Z,sampler-a,0,memory_used,15784640000.0
2026-06-28T04:34:21.079045Z,sampler-a,1,memory_used,26624.0
2026-06-28T04:34:21.079049Z,sampler-a,2,duty_cycle,0.0
2026-06-28T04:34:21.079051Z,sampler-a,7,duty_cycle,0.0
2026-06-28T04:34:21.079052Z,sampler-a,5,duty_cycle,0.0
2026-06-28T04:34:21.079053Z,sampler-a,4,duty_cycle,0.0
2026-06-28T04:34:21.079054Z,sampler-a,1,duty_cycle,0.0
2026-06-28T04:34:21.079055Z,sampler-a,6,duty_cycle,0.0
2026-06-28T04:34:21.079056Z,sampler-a,0,duty_cycle,0.0
2026-06-28T04:34:21.079056Z,sampler-a,3,duty_cycle,0.0
2026-06-28T04:35:21.080580Z,sampler-a,7,memory_total,16909332480.0
2026-06-28T04:35:21.080584Z,sampler-a,5,memory_total,16909332480.0
2026-06-28T04:35:21.080585Z,sampler-a,0,memory_total,16909332480.0
2026-06-28T04:35:21.080589Z,sampler-a,1,memory_total,16909332480.0
2026-06-28T04:35:21.080589Z,sampler-a,2,memory_total,16909332480.0
2026-06-28T04:35:21.080590Z,sampler-a,4,memory_total,16909332480.0
2026-06-28T04:35:21.080591Z,sampler-a,3,memory_total,16909332480.0
2026-06-28T04:35:21.080592Z,sampler-a,6,memory_total,16909332480.0
2026-06-28T04:35:21.080593Z,sampler-a,1,memory_used,26624.0
2026-06-28T04:35:21.080594Z,sampler-a,5,memory_used,26624.0
2026-06-28T04:35:21.080595Z,sampler-a,4,memory_used,26624.0
2026-06-28T04:35:21.080595Z,sampler-a,6,memory_used,26624.0
2026-06-28T04:35:21.080596Z,sampler-a,3,memory_used,26624.0
2026-06-28T04:35:21.080597Z,sampler-a,0,memory_used,15853357056.0
2026-06-28T04:35:21.080598Z,sampler-a,2,memory_used,26624.0
2026-06-28T04:35:21.080598Z,sampler-a,7,memory_used,26624.0
2026-06-28T04:35:21.080602Z,sampler-a,0,duty_cycle,45.0
2026-06-28T04:35:21.080603Z,sampler-a,2,duty_cycle,0.0
2026-06-28T04:35:21.080604Z,sampler-a,1,duty_cycle,0.0
2026-06-28T04:35:21.080604Z,sampler-a,4,duty_cycle,0.0
2026-06-28T04:35:21.080607Z,sampler-a,6,duty_cycle,0.0
2026-06-28T04:35:21.080608Z,sampler-a,3,duty_cycle,0.0
2026-06-28T04:35:21.080608Z,sampler-a,7,duty_cycle,0.0
2026-06-28T04:35:21.080610Z,sampler-a,5,duty_cycle,0.0
2026-06-28T04:36:21.079475Z,sampler-a,4,memory_total,16909332480.0
2026-06-28T04:36:21.079480Z,sampler-a,2,memory_total,16909332480.0
2026-06-28T04:36:21.079480Z,sampler-a,6,memory_total,16909332480.0
2026-06-28T04:36:21.079482Z,sampler-a,1,memory_total,16909332480.0
2026-06-28T04:36:21.079484Z,sampler-a,3,memory_total,16909332480.0
2026-06-28T04:36:21.079485Z,sampler-a,7,memory_total,16909332480.0
2026-06-28T04:36:21.079486Z,sampler-a,0,memory_total,16909332480.0
2026-06-28T04:36:21.079486Z,sampler-a,5,memory_total,16909332480.0
2026-06-28T04:36:21.079487Z,sampler-a,3,memory_used,26624.0
2026-06-28T04:36:21.079488Z,sampler-a,2,memory_used,26624.0
2026-06-28T04:36:21.079489Z,sampler-a,5,memory_used,26624.0
2026-06-28T04:36:21.079490Z,sampler-a,0,memory_used,15853400064.0
2026-06-28T04:36:21.079490Z,sampler-a,1,memory_used,26624.0
2026-06-28T04:36:21.079491Z,sampler-a,7,memory_used,26624.0
2026-06-28T04:36:21.079492Z,sampler-a,6,memory_used,26624.0
2026-06-28T04:36:21.079493Z,sampler-a,4,memory_used,26624.0
2026-06-28T04:36:21.079497Z,sampler-a,0,duty_cycle,43.0
2026-06-28T04:36:21.079499Z,sampler-a,6,duty_cycle,0.0
2026-06-28T04:36:21.079500Z,sampler-a,1,duty_cycle,0.0
2026-06-28T04:36:21.079501Z,sampler-a,4,duty_cycle,0.0
2026-06-28T04:36:21.079502Z,sampler-a,2,duty_cycle,0.0
2026-06-28T04:36:21.079503Z,sampler-a,3,duty_cycle,0.0
2026-06-28T04:36:21.079503Z,sampler-a,7,duty_cycle,0.0
2026-06-28T04:36:21.079504Z,sampler-a,5,duty_cycle,0.0
2026-06-28T04:37:21.079915Z,sampler-a,4,memory_total,16909332480.0
2026-06-28T04:37:21.079919Z,sampler-a,2,memory_total,16909332480.0
2026-06-28T04:37:21.079920Z,sampler-a,5,memory_total,16909332480.0
2026-06-28T04:37:21.079920Z,sampler-a,6,memory_total,16909332480.0
2026-06-28T04:37:21.079921Z,sampler-a,0,memory_total,16909332480.0
2026-06-28T04:37:21.079922Z,sampler-a,7,memory_total,16909332480.0
2026-06-28T04:37:21.079923Z,sampler-a,3,memory_total,16909332480.0
2026-06-28T04:37:21.079924Z,sampler-a,1,memory_total,16909332480.0
2026-06-28T04:37:21.079925Z,sampler-a,0,memory_used,15853484032.0
2026-06-28T04:37:21.079926Z,sampler-a,6,memory_used,26624.0
2026-06-28T04:37:21.079927Z,sampler-a,3,memory_used,26624.0
2026-06-28T04:37:21.079928Z,sampler-a,2,memory_used,26624.0
2026-06-28T04:37:21.079929Z,sampler-a,1,memory_used,26624.0
2026-06-28T04:37:21.079929Z,sampler-a,5,memory_used,26624.0
2026-06-28T04:37:21.079930Z,sampler-a,7,memory_used,26624.0
2026-06-28T04:37:21.079931Z,sampler-a,4,memory_used,26624.0
2026-06-28T04:37:21.079935Z,sampler-a,3,duty_cycle,0.0
2026-06-28T04:37:21.079936Z,sampler-a,2,duty_cycle,0.0
2026-06-28T04:37:21.079937Z,sampler-a,5,duty_cycle,0.0
2026-06-28T04:37:21.079939Z,sampler-a,1,duty_cycle,0.0
2026-06-28T04:37:21.079941Z,sampler-a,4,duty_cycle,0.0
2026-06-28T04:37:21.079942Z,sampler-a,7,duty_cycle,0.0
2026-06-28T04:37:21.079943Z,sampler-a,6,duty_cycle,0.0
2026-06-28T04:37:21.079944Z,sampler-a,0,duty_cycle,45.0
2026-06-28T04:38:11.079265Z,sampler-a,6,memory_total,16909332480.0
2026-06-28T04:38:11.079267Z,sampler-a,1,memory_total,16909332480.0
2026-06-28T04:38:11.079268Z,sampler-a,4,memory_total,16909332480.0
2026-06-28T04:38:11.079269Z,sampler-a,2,memory_total,16909332480.0
2026-06-28T04:38:11.079270Z,sampler-a,7,memory_total,16909332480.0
2026-06-28T04:38:11.079271Z,sampler-a,3,memory_total,16909332480.0
2026-06-28T04:38:11.079271Z,sampler-a,5,memory_total,16909332480.0
2026-06-28T04:38:11.079272Z,sampler-a,0,memory_total,16909332480.0
2026-06-28T04:38:11.079273Z,sampler-a,7,memory_used,26624.0
2026-06-28T04:38:11.079275Z,sampler-a,2,memory_used,26624.0
2026-06-28T04:38:11.079277Z,sampler-a,3,memory_used,26624.0
2026-06-28T04:38:11.079278Z,sampler-a,5,memory_used,26624.0
2026-06-28T04:38:11.079279Z,sampler-a,4,memory_used,26624.0
2026-06-28T04:38:11.079280Z,sampler-a,6,memory_used,26624.0
2026-06-28T04:38:11.079281Z,sampler-a,0,memory_used,15853482496.0
2026-06-28T04:38:11.079281Z,sampler-a,1,memory_used,26624.0
2026-06-28T04:38:11.079284Z,sampler-a,4,duty_cycle,0.0
2026-06-28T04:38:11.079286Z,sampler-a,0,duty_cycle,46.0
2026-06-28T04:38:11.079286Z,sampler-a,7,duty_cycle,0.0
2026-06-28T04:38:11.079288Z,sampler-a,2,duty_cycle,0.0
2026-06-28T04:38:11.079289Z,sampler-a,1,duty_cycle,0.0
2026-06-28T04:38:11.079289Z,sampler-a,3,duty_cycle,0.0
2026-06-28T04:38:11.079291Z,sampler-a,5,duty_cycle,0.0
2026-06-28T04:38:11.079292Z,sampler-a,6,duty_cycle,0.0
2026-06-28T04:39:01.081218Z,sampler-a,6,memory_total,16909332480.0
2026-06-28T04:39:01.081221Z,sampler-a,1,memory_total,16909332480.0
2026-06-28T04:39:01.081224Z,sampler-a,4,memory_total,16909332480.0
2026-06-28T04:39:01.081227Z,sampler-a,2,memory_total,16909332480.0
2026-06-28T04:39:01.081227Z,sampler-a,7,memory_total,16909332480.0
2026-06-28T04:39:01.081228Z,sampler-a,0,memory_total,16909332480.0
2026-06-28T04:39:01.081229Z,sampler-a,5,memory_total,16909332480.0
2026-06-28T04:39:01.081233Z,sampler-a,3,memory_total,16909332480.0
2026-06-28T04:39:01.081234Z,sampler-a,4,memory_used,26624.0
2026-06-28T04:39:01.081235Z,sampler-a,1,memory_used,26624.0
2026-06-28T04:39:01.081236Z,sampler-a,7,memory_used,26624.0
2026-06-28T04:39:01.081237Z,sampler-a,5,memory_used,26624.0
2026-06-28T04:39:01.081237Z,sampler-a,6,memory_used,26624.0
2026-06-28T04:39:01.081239Z,sampler-a,0,memory_used,15869703680.0
2026-06-28T04:39:01.081239Z,sampler-a,3,memory_used,26624.0
2026-06-28T04:39:01.081240Z,sampler-a,2,memory_used,26624.0
2026-06-28T04:39:01.081244Z,sampler-a,1,duty_cycle,0.0
2026-06-28T04:39:01.081245Z,sampler-a,4,duty_cycle,0.0
2026-06-28T04:39:01.081246Z,sampler-a,0,duty_cycle,47.0
2026-06-28T04:39:01.081246Z,sampler-a,2,duty_cycle,0.0
2026-06-28T04:39:01.081247Z,sampler-a,3,duty_cycle,0.0
2026-06-28T04:39:01.081248Z,sampler-a,5,duty_cycle,0.0
2026-06-28T04:39:01.081248Z,sampler-a,7,duty_cycle,0.0
2026-06-28T04:39:01.081251Z,sampler-a,6,duty_cycle,0.0
2026-06-28T04:40:01.079557Z,sampler-a,0,memory_total,16909332480.0
2026-06-28T04:40:01.079559Z,sampler-a,2,memory_total,16909332480.0
2026-06-28T04:40:01.079561Z,sampler-a,1,memory_total,16909332480.0
2026-06-28T04:40:01.079562Z,sampler-a,4,memory_total,16909332480.0
2026-06-28T04:40:01.079571Z,sampler-a,6,memory_total,16909332480.0
2026-06-28T04:40:01.079572Z,sampler-a,3,memory_total,16909332480.0
2026-06-28T04:40:01.079573Z,sampler-a,7,memory_total,16909332480.0
2026-06-28T04:40:01.079574Z,sampler-a,5,memory_total,16909332480.0
2026-06-28T04:40:01.079575Z,sampler-a,3,memory_used,26624.0
2026-06-28T04:40:01.079576Z,sampler-a,6,memory_used,26624.0
2026-06-28T04:40:01.079579Z,sampler-a,4,memory_used,26624.0
2026-06-28T04:40:01.079580Z,sampler-a,5,memory_used,26624.0
2026-06-28T04:40:01.079581Z,sampler-a,1,memory_used,26624.0
2026-06-28T04:40:01.079582Z,sampler-a,0,memory_used,15853521920.0
2026-06-28T04:40:01.079584Z,sampler-a,2,memory_used,26624.0
2026-06-28T04:40:01.079584Z,sampler-a,7,memory_used,26624.0
2026-06-28T04:40:01.079588Z,sampler-a,0,duty_cycle,45.0
2026-06-28T04:40:01.079589Z,sampler-a,5,duty_cycle,0.0
2026-06-28T04:40:01.079590Z,sampler-a,3,duty_cycle,0.0
2026-06-28T04:40:01.079591Z,sampler-a,7,duty_cycle,0.0
2026-06-28T04:40:01.079592Z,sampler-a,2,duty_cycle,0.0
2026-06-28T04:40:01.079592Z,sampler-a,4,duty_cycle,0.0
2026-06-28T04:40:01.079593Z,sampler-a,6,duty_cycle,0.0
2026-06-28T04:40:01.079594Z,sampler-a,1,duty_cycle,0.0
2026-06-28T04:40:51.080252Z,sampler-a,6,memory_total,16909332480.0
2026-06-28T04:40:51.080257Z,sampler-a,7,memory_total,16909332480.0
2026-06-28T04:40:51.080258Z,sampler-a,1,memory_total,16909332480.0
2026-06-28T04:40:51.080259Z,sampler-a,0,memory_total,16909332480.0
2026-06-28T04:40:51.080260Z,sampler-a,3,memory_total,16909332480.0
2026-06-28T04:40:51.080260Z,sampler-a,4,memory_total,16909332480.0
2026-06-28T04:40:51.080261Z,sampler-a,2,memory_total,16909332480.0
