ts,wall,phase,chip,duty_cycle_pct,mem_used_mib,mem_total_mib,mem_pct
1782621148.938,04:32:28,timeslice,0,0.0,0,16126,0.0
1782621148.938,04:32:28,timeslice,1,0.0,0,16126,0.0
1782621148.938,04:32:28,timeslice,2,0.0,0,16126,0.0
1782621148.938,04:32:28,timeslice,3,0.0,0,16126,0.0
1782621148.938,04:32:28,timeslice,4,0.0,0,16126,0.0
1782621148.938,04:32:28,timeslice,5,0.0,0,16126,0.0
1782621148.938,04:32:28,timeslice,6,0.0,0,16126,0.0
1782621148.938,04:32:28,timeslice,7,0.0,0,16126,0.0
1782621149.942,04:32:29,timeslice,0,0.0,0,16126,0.0
1782621149.942,04:32:29,timeslice,1,0.0,0,16126,0.0
1782621149.942,04:32:29,timeslice,2,0.0,0,16126,0.0
1782621149.942,04:32:29,timeslice,3,0.0,0,16126,0.0
1782621149.942,04:32:29,timeslice,4,0.0,0,16126,0.0
1782621149.942,04:32:29,timeslice,5,0.0,0,16126,0.0
1782621149.942,04:32:29,timeslice,6,0.0,0,16126,0.0
1782621149.942,04:32:29,timeslice,7,0.0,0,16126,0.0
1782621150.947,04:32:30,timeslice,0,0.0,0,16126,0.0
1782621150.947,04:32:30,timeslice,1,0.0,0,16126,0.0
1782621150.947,04:32:30,timeslice,2,0.0,0,16126,0.0
1782621150.947,04:32:30,timeslice,3,0.0,0,16126,0.0
1782621150.947,04:32:30,timeslice,4,0.0,0,16126,0.0
1782621150.947,04:32:30,timeslice,5,0.0,0,16126,0.0
1782621150.947,04:32:30,timeslice,6,0.0,0,16126,0.0
1782621150.947,04:32:30,timeslice,7,0.0,0,16126,0.0
1782621151.953,04:32:31,timeslice,0,0.0,0,16126,0.0
1782621151.953,04:32:31,timeslice,1,0.0,0,16126,0.0
1782621151.953,04:32:31,timeslice,2,0.0,0,16126,0.0
1782621151.953,04:32:31,timeslice,3,0.0,0,16126,0.0
1782621151.953,04:32:31,timeslice,4,0.0,0,16126,0.0
1782621151.953,04:32:31,timeslice,5,0.0,0,16126,0.0
1782621151.953,04:32:31,timeslice,6,0.0,0,16126,0.0
1782621151.953,04:32:31,timeslice,7,0.0,0,16126,0.0
1782621152.958,04:32:32,timeslice,0,0.0,0,16126,0.0
1782621152.958,04:32:32,timeslice,1,0.0,0,16126,0.0
1782621152.958,04:32:32,timeslice,2,0.0,0,16126,0.0
1782621152.958,04:32:32,timeslice,3,0.0,0,16126,0.0
1782621152.958,04:32:32,timeslice,4,0.0,0,16126,0.0
1782621152.958,04:32:32,timeslice,5,0.0,0,16126,0.0
1782621152.958,04:32:32,timeslice,6,0.0,0,16126,0.0
1782621152.958,04:32:32,timeslice,7,0.0,0,16126,0.0
1782621153.962,04:32:33,timeslice,0,0.0,0,16126,0.0
1782621153.962,04:32:33,timeslice,1,0.0,0,16126,0.0
1782621153.962,04:32:33,timeslice,2,0.0,0,16126,0.0
1782621153.962,04:32:33,timeslice,3,0.0,0,16126,0.0
1782621153.962,04:32:33,timeslice,4,0.0,0,16126,0.0
1782621153.962,04:32:33,timeslice,5,0.0,0,16126,0.0
1782621153.962,04:32:33,timeslice,6,0.0,0,16126,0.0
1782621153.962,04:32:33,timeslice,7,0.0,0,16126,0.0
1782621154.968,04:32:34,timeslice,0,0.0,0,16126,0.0
1782621154.968,04:32:34,timeslice,1,0.0,0,16126,0.0
1782621154.968,04:32:34,timeslice,2,0.0,0,16126,0.0
1782621154.968,04:32:34,timeslice,3,0.0,0,16126,0.0
1782621154.968,04:32:34,timeslice,4,0.0,0,16126,0.0
1782621154.968,04:32:34,timeslice,5,0.0,0,16126,0.0
1782621154.968,04:32:34,timeslice,6,0.0,0,16126,0.0
1782621154.968,04:32:34,timeslice,7,0.0,0,16126,0.0
1782621155.973,04:32:35,timeslice,0,0.0,0,16126,0.0
1782621155.973,04:32:35,timeslice,1,0.0,0,16126,0.0
1782621155.973,04:32:35,timeslice,2,0.0,0,16126,0.0
1782621155.973,04:32:35,timeslice,3,0.0,0,16126,0.0
1782621155.973,04:32:35,timeslice,4,0.0,0,16126,0.0
1782621155.973,04:32:35,timeslice,5,0.0,0,16126,0.0
1782621155.973,04:32:35,timeslice,6,0.0,0,16126,0.0
1782621155.973,04:32:35,timeslice,7,0.0,0,16126,0.0
1782621156.978,04:32:36,timeslice,0,0.0,0,16126,0.0
1782621156.978,04:32:36,timeslice,1,0.0,0,16126,0.0
1782621156.978,04:32:36,timeslice,2,0.0,0,16126,0.0
1782621156.978,04:32:36,timeslice,3,0.0,0,16126,0.0
1782621156.978,04:32:36,timeslice,4,0.0,0,16126,0.0
1782621156.978,04:32:36,timeslice,5,0.0,0,16126,0.0
1782621156.978,04:32:36,timeslice,6,0.0,0,16126,0.0
1782621156.978,04:32:36,timeslice,7,0.0,0,16126,0.0
1782621157.983,04:32:37,timeslice,0,0.0,0,16126,0.0
1782621157.983,04:32:37,timeslice,1,0.0,0,16126,0.0
1782621157.983,04:32:37,timeslice,2,0.0,0,16126,0.0
1782621157.983,04:32:37,timeslice,3,0.0,0,16126,0.0
1782621157.983,04:32:37,timeslice,4,0.0,0,16126,0.0
1782621157.983,04:32:37,timeslice,5,0.0,0,16126,0.0
1782621157.983,04:32:37,timeslice,6,0.0,0,16126,0.0
1782621157.983,04:32:37,timeslice,7,0.0,0,16126,0.0
1782621158.988,04:32:38,timeslice,0,0.0,156,16126,1.0
1782621158.988,04:32:38,timeslice,1,0.0,0,16126,0.0
1782621158.988,04:32:38,timeslice,2,0.0,0,16126,0.0
1782621158.988,04:32:38,timeslice,3,0.0,0,16126,0.0
1782621158.988,04:32:38,timeslice,4,0.0,0,16126,0.0
1782621158.988,04:32:38,timeslice,5,0.0,0,16126,0.0
1782621158.988,04:32:38,timeslice,6,0.0,0,16126,0.0
1782621158.988,04:32:38,timeslice,7,0.0,0,16126,0.0
1782621159.993,04:32:39,timeslice,0,0.0,156,16126,1.0
1782621159.993,04:32:39,timeslice,1,0.0,0,16126,0.0
1782621159.993,04:32:39,timeslice,2,0.0,0,16126,0.0
1782621159.993,04:32:39,timeslice,3,0.0,0,16126,0.0
1782621159.993,04:32:39,timeslice,4,0.0,0,16126,0.0
1782621159.993,04:32:39,timeslice,5,0.0,0,16126,0.0
1782621159.993,04:32:39,timeslice,6,0.0,0,16126,0.0
1782621159.993,04:32:39,timeslice,7,0.0,0,16126,0.0
1782621160.997,04:32:40,timeslice,0,0.0,156,16126,1.0
1782621160.997,04:32:40,timeslice,1,0.0,0,16126,0.0
1782621160.997,04:32:40,timeslice,2,0.0,0,16126,0.0
1782621160.997,04:32:40,timeslice,3,0.0,0,16126,0.0
1782621160.997,04:32:40,timeslice,4,0.0,0,16126,0.0
1782621160.997,04:32:40,timeslice,5,0.0,0,16126,0.0
1782621160.997,04:32:40,timeslice,6,0.0,0,16126,0.0
1782621160.997,04:32:40,timeslice,7,0.0,0,16126,0.0
1782621162.003,04:32:42,timeslice,0,0.0,156,16126,1.0
1782621162.003,04:32:42,timeslice,1,0.0,0,16126,0.0
1782621162.003,04:32:42,timeslice,2,0.0,0,16126,0.0
1782621162.003,04:32:42,timeslice,3,0.0,0,16126,0.0
1782621162.003,04:32:42,timeslice,4,0.0,0,16126,0.0
1782621162.003,04:32:42,timeslice,5,0.0,0,16126,0.0
1782621162.003,04:32:42,timeslice,6,0.0,0,16126,0.0
1782621162.003,04:32:42,timeslice,7,0.0,0,16126,0.0
1782621163.008,04:32:43,timeslice,0,0.0,156,16126,1.0
1782621163.008,04:32:43,timeslice,1,0.0,0,16126,0.0
1782621163.008,04:32:43,timeslice,2,0.0,0,16126,0.0
1782621163.008,04:32:43,timeslice,3,0.0,0,16126,0.0
1782621163.008,04:32:43,timeslice,4,0.0,0,16126,0.0
1782621163.008,04:32:43,timeslice,5,0.0,0,16126,0.0
1782621163.008,04:32:43,timeslice,6,0.0,0,16126,0.0
1782621163.008,04:32:43,timeslice,7,0.0,0,16126,0.0
1782621164.013,04:32:44,timeslice,0,0.0,316,16126,2.0
1782621164.013,04:32:44,timeslice,1,0.0,0,16126,0.0
1782621164.013,04:32:44,timeslice,2,0.0,0,16126,0.0
1782621164.013,04:32:44,timeslice,3,0.0,0,16126,0.0
1782621164.013,04:32:44,timeslice,4,0.0,0,16126,0.0
1782621164.013,04:32:44,timeslice,5,0.0,0,16126,0.0
1782621164.013,04:32:44,timeslice,6,0.0,0,16126,0.0
1782621164.013,04:32:44,timeslice,7,0.0,0,16126,0.0
1782621165.018,04:32:45,timeslice,0,0.0,316,16126,2.0
1782621165.018,04:32:45,timeslice,1,0.0,0,16126,0.0
1782621165.018,04:32:45,timeslice,2,0.0,0,16126,0.0
1782621165.018,04:32:45,timeslice,3,0.0,0,16126,0.0
1782621165.018,04:32:45,timeslice,4,0.0,0,16126,0.0
1782621165.018,04:32:45,timeslice,5,0.0,0,16126,0.0
1782621165.018,04:32:45,timeslice,6,0.0,0,16126,0.0
1782621165.018,04:32:45,timeslice,7,0.0,0,16126,0.0
1782621166.022,04:32:46,timeslice,0,0.0,316,16126,2.0
1782621166.022,04:32:46,timeslice,1,0.0,0,16126,0.0
1782621166.022,04:32:46,timeslice,2,0.0,0,16126,0.0
1782621166.022,04:32:46,timeslice,3,0.0,0,16126,0.0
1782621166.022,04:32:46,timeslice,4,0.0,0,16126,0.0
1782621166.022,04:32:46,timeslice,5,0.0,0,16126,0.0
1782621166.022,04:32:46,timeslice,6,0.0,0,16126,0.0
1782621166.022,04:32:46,timeslice,7,0.0,0,16126,0.0
1782621167.027,04:32:47,timeslice,0,0.0,316,16126,2.0
1782621167.027,04:32:47,timeslice,1,0.0,0,16126,0.0
1782621167.027,04:32:47,timeslice,2,0.0,0,16126,0.0
1782621167.027,04:32:47,timeslice,3,0.0,0,16126,0.0
1782621167.027,04:32:47,timeslice,4,0.0,0,16126,0.0
1782621167.027,04:32:47,timeslice,5,0.0,0,16126,0.0
1782621167.027,04:32:47,timeslice,6,0.0,0,16126,0.0
1782621167.027,04:32:47,timeslice,7,0.0,0,16126,0.0
1782621168.032,04:32:48,timeslice,0,0.0,316,16126,2.0
1782621168.032,04:32:48,timeslice,1,0.0,0,16126,0.0
1782621168.032,04:32:48,timeslice,2,0.0,0,16126,0.0
1782621168.032,04:32:48,timeslice,3,0.0,0,16126,0.0
1782621168.032,04:32:48,timeslice,4,0.0,0,16126,0.0
1782621168.032,04:32:48,timeslice,5,0.0,0,16126,0.0
1782621168.032,04:32:48,timeslice,6,0.0,0,16126,0.0
1782621168.032,04:32:48,timeslice,7,0.0,0,16126,0.0
1782621169.037,04:32:49,timeslice,0,0.0,335,16126,2.1
1782621169.037,04:32:49,timeslice,1,0.0,0,16126,0.0
1782621169.037,04:32:49,timeslice,2,0.0,0,16126,0.0
1782621169.037,04:32:49,timeslice,3,0.0,0,16126,0.0
1782621169.037,04:32:49,timeslice,4,0.0,0,16126,0.0
1782621169.037,04:32:49,timeslice,5,0.0,0,16126,0.0
1782621169.037,04:32:49,timeslice,6,0.0,0,16126,0.0
1782621169.037,04:32:49,timeslice,7,0.0,0,16126,0.0
1782621170.042,04:32:50,timeslice,0,0.0,335,16126,2.1
1782621170.042,04:32:50,timeslice,1,0.0,0,16126,0.0
1782621170.042,04:32:50,timeslice,2,0.0,0,16126,0.0
1782621170.042,04:32:50,timeslice,3,0.0,0,16126,0.0
1782621170.042,04:32:50,timeslice,4,0.0,0,16126,0.0
1782621170.042,04:32:50,timeslice,5,0.0,0,16126,0.0
1782621170.042,04:32:50,timeslice,6,0.0,0,16126,0.0
1782621170.042,04:32:50,timeslice,7,0.0,0,16126,0.0
1782621171.047,04:32:51,timeslice,0,0.0,335,16126,2.1
1782621171.047,04:32:51,timeslice,1,0.0,0,16126,0.0
1782621171.047,04:32:51,timeslice,2,0.0,0,16126,0.0
1782621171.047,04:32:51,timeslice,3,0.0,0,16126,0.0
1782621171.047,04:32:51,timeslice,4,0.0,0,16126,0.0
1782621171.047,04:32:51,timeslice,5,0.0,0,16126,0.0
1782621171.047,04:32:51,timeslice,6,0.0,0,16126,0.0
1782621171.047,04:32:51,timeslice,7,0.0,0,16126,0.0
1782621172.052,04:32:52,timeslice,0,0.0,335,16126,2.1
1782621172.052,04:32:52,timeslice,1,0.0,0,16126,0.0
1782621172.052,04:32:52,timeslice,2,0.0,0,16126,0.0
1782621172.052,04:32:52,timeslice,3,0.0,0,16126,0.0
1782621172.052,04:32:52,timeslice,4,0.0,0,16126,0.0
1782621172.052,04:32:52,timeslice,5,0.0,0,16126,0.0
1782621172.052,04:32:52,timeslice,6,0.0,0,16126,0.0
1782621172.052,04:32:52,timeslice,7,0.0,0,16126,0.0
1782621173.057,04:32:53,timeslice,0,0.0,335,16126,2.1
1782621173.057,04:32:53,timeslice,1,0.0,0,16126,0.0
1782621173.057,04:32:53,timeslice,2,0.0,0,16126,0.0
1782621173.057,04:32:53,timeslice,3,0.0,0,16126,0.0
1782621173.057,04:32:53,timeslice,4,0.0,0,16126,0.0
1782621173.057,04:32:53,timeslice,5,0.0,0,16126,0.0
1782621173.057,04:32:53,timeslice,6,0.0,0,16126,0.0
1782621173.057,04:32:53,timeslice,7,0.0,0,16126,0.0
1782621174.062,04:32:54,timeslice,0,0.0,359,16126,2.2
1782621174.062,04:32:54,timeslice,1,0.0,0,16126,0.0
1782621174.062,04:32:54,timeslice,2,0.0,0,16126,0.0
1782621174.062,04:32:54,timeslice,3,0.0,0,16126,0.0
1782621174.062,04:32:54,timeslice,4,0.0,0,16126,0.0
1782621174.062,04:32:54,timeslice,5,0.0,0,16126,0.0
1782621174.062,04:32:54,timeslice,6,0.0,0,16126,0.0
1782621174.062,04:32:54,timeslice,7,0.0,0,16126,0.0
1782621175.067,04:32:55,timeslice,0,0.0,359,16126,2.2
1782621175.067,04:32:55,timeslice,1,0.0,0,16126,0.0
1782621175.067,04:32:55,timeslice,2,0.0,0,16126,0.0
1782621175.067,04:32:55,timeslice,3,0.0,0,16126,0.0
1782621175.067,04:32:55,timeslice,4,0.0,0,16126,0.0
1782621175.067,04:32:55,timeslice,5,0.0,0,16126,0.0
1782621175.067,04:32:55,timeslice,6,0.0,0,16126,0.0
1782621175.067,04:32:55,timeslice,7,0.0,0,16126,0.0
1782621176.072,04:32:56,timeslice,0,0.0,359,16126,2.2
1782621176.072,04:32:56,timeslice,1,0.0,0,16126,0.0
1782621176.072,04:32:56,timeslice,2,0.0,0,16126,0.0
1782621176.072,04:32:56,timeslice,3,0.0,0,16126,0.0
1782621176.072,04:32:56,timeslice,4,0.0,0,16126,0.0
1782621176.072,04:32:56,timeslice,5,0.0,0,16126,0.0
1782621176.072,04:32:56,timeslice,6,0.0,0,16126,0.0
